Year,Month,NDVI
2012,1,0.11855177519958353
2012,2,0.10888773947954178
2012,3,0.12688794725697572
2012,4,0.13926332320210003
2012,5,0.13511568768826251
2012,6,0.11652068775426606
2012,7,0.10156648221995108
2012,8,0.09415691471583928
2012,9,0.09009793189144354
2012,10,0.0935394046549577
2012,11,
2012,12,0.10947418350413929
2013,1,
2013,2,
2013,3,
2013,4,0.16950650897110298
2013,5,0.15722128234508537
2013,6,0.13994110319994824
2013,7,0.12390125117117332
2013,8,0.10552631371557636
2013,9,0.10645054968657815
2013,10,
2013,11,
2013,12,
2014,1,0.1716559019235259
2014,2,0.19898704343975468
2014,3,-0.004708713579137481
2014,4,0.17416806149208694
2014,5,0.15312442460672812
2014,6,0.13774749431153588
2014,7,0.1279993341983886
2014,8,0.11204317246969775
2014,9,0.048637330758135214
2014,10,0.11373830836395367
2014,11,0.11936901145295892
2014,12,0.1420685433204072
2015,1,0.1596422557466036
2015,2,0.1573547932013413
2015,3,
2015,4,0.15154592519734528
2015,5,0.14947096882606178
2015,6,0.1363486350514001
2015,7,0.11779668044417656
2015,8,
2015,9,0.10885168085857043
2015,10,0.10894998107135546
2015,11,0.11040620904052503
2015,12,0.13260610981356344
2016,1,0.15110965322618516
2016,2,0.14946580806377593
2016,3,0.18398189337232745
2016,4,0.1555388772956243
2016,5,0.14369692118899344
2016,6,0.12832942228168914
2016,7,0.11808507705641738
2016,8,0.10355093875373851
2016,9,0.09880940076808166
2016,10,0.08163496840781483
2016,11,0.10728187200551494
2016,12,
2017,1,0.11041244116408204
2017,2,0.10200230344649285
2017,3,
2017,4,0.15270375632091615
2017,5,0.1491998162241966
2017,6,0.14277687525048277
2017,7,0.19151526223235912
2017,8,0.2686227947728395
2017,9,0.10464385036811613
2017,10,0.11872989008810696
2017,11,
2017,12,0.151414619488393
2018,1,0.14406432703915326
2018,2,
2018,3,
2018,4,0.15616109337002748
2018,5,0.14208671970424813
2018,6,0.13379349274386013
2018,7,0.16967686221142686
2018,8,0.09483578153806398
2018,9,0.1545292869413089
2018,10,0.0925421071592474
2018,11,
2018,12,0.230094242499218
2019,1,0.3879580623719564
2019,2,
2019,3,0.47274081938005247
2019,4,0.389461028265544
2019,5,0.2619533604438255
2019,6,0.3396637431319793
2019,7,0.27853700916513235
2019,8,0.22929978982808524
2019,9,0.20428794344764767
2019,10,0.22349955184828274
2019,11,
2019,12,0.23082312697191898
2020,1,0.34600967478508066
2020,2,0.3551299325397334
2020,3,0.4130480082805541
2020,4,0.4424480104000676
2020,5,0.41496244420384637
2020,6,0.3121024599000728
2020,7,0.27424340064111846
2020,8,0.2182136209970048
2020,9,0.19875796821696054
2020,10,0.17864670801139165
2020,11,0.22086689585337824
2020,12,0.26124609520695063
2021,1,
2021,2,0.3963884042461305
2021,3,0.011744813151661534
2021,4,0.4188943546041081
2021,5,0.38105054192870763
2021,6,0.3251271507872001
2021,7,0.30054266785777023
2021,8,0.24913793800637551
2021,9,0.1927062576213627
2021,10,0.2357363678073252
2021,11,0.2790442258309026
2021,12,0.25422902422465926
2022,1,0.29192930329660094
2022,2,0.2610040007039643
2022,3,0.37611246597080794
2022,4,0.41720548227522236
2022,5,0.3047846905357273
2022,6,0.366886902102299
2022,7,0.28884107031651307
2022,8,0.23788016244695226
2022,9,0.21042795393037747
2022,10,0.22659945027679973
2022,11,0.25963647526304967
2022,12,0.25336504583004615
