Year,Month,NDVI
2012,1,0.13384028709350773
2012,2,0.13391826168597692
2012,3,0.12271194062255635
2012,4,0.13114326729758338
2012,5,0.12757287147848823
2012,6,0.11124018405014358
2012,7,0.09391852954202834
2012,8,0.08963685757004934
2012,9,0.0855923477480323
2012,10,0.08663004140810361
2012,11,
2012,12,0.13000426350654976
2013,1,
2013,2,
2013,3,
2013,4,0.1549076021369221
2013,5,0.14276658297745942
2013,6,0.1304112018003098
2013,7,0.11814456947651958
2013,8,0.09498218038660879
2013,9,0.10192075163144505
2013,10,0.1223714164935217
2013,11,
2013,12,
2014,1,0.15472679036632864
2014,2,0.0790115097461055
2014,3,0.15293773038780079
2014,4,0.16877660018818333
2014,5,0.14431135060903696
2014,6,0.13820452514874315
2014,7,0.11836101203019608
2014,8,0.10772021907448308
2014,9,0.09086297578752466
2014,10,0.10363220338057513
2014,11,0.10864301516379198
2014,12,0.13122264459834332
2015,1,0.12919925700774482
2015,2,0.14412848045384616
2015,3,0.18472912229481064
2015,4,0.14988757457048277
2015,5,0.13761457197644633
2015,6,0.12773422367737675
2015,7,0.11531087597223906
2015,8,
2015,9,0.10510701994461032
2015,10,0.09943261448806383
2015,11,0.10237082312199346
2015,12,0.1302586351094739
2016,1,0.1421409628797215
2016,2,0.14368357772283025
2016,3,0.17860211454141237
2016,4,0.1460530641052888
2016,5,0.1353853757240932
2016,6,0.12177840296120654
2016,7,0.11274114167707182
2016,8,0.10170054840752815
2016,9,0.0962737722914003
2016,10,0.11033866362778239
2016,11,0.09297613002549643
2016,12,
2017,1,0.10349298974436245
2017,2,
2017,3,
2017,4,0.1388380845645289
2017,5,0.14114231856064618
2017,6,0.13459041853840195
2017,7,0.16890787807105248
2017,8,0.25047148445486833
2017,9,0.10014337458526157
2017,10,0.11081134610033684
2017,11,
2017,12,0.14969258854808914
2018,1,0.1407750277927303
2018,2,
2018,3,
2018,4,0.14707436117821585
2018,5,0.14391183198311466
2018,6,0.12957344688673567
2018,7,0.16128565356732072
2018,8,0.10383915811848587
2018,9,0.14541876779867263
2018,10,0.09193508718436198
2018,11,0.12578148319042703
2018,12,0.13375067974007696
2019,1,0.35786746491359117
2019,2,
2019,3,0.41733021754751126
2019,4,0.3508619934534432
2019,5,0.25576491240240196
2019,6,0.30323079670959435
2019,7,0.24665748244124258
2019,8,0.21471828604591156
2019,9,0.19522623907864295
2019,10,0.2067640818806586
2019,11,
2019,12,0.30344454941271387
2020,1,0.3202694131098045
2020,2,0.3112302229939785
2020,3,0.3741324414710232
2020,4,0.3906304573936311
2020,5,0.37403035431075815
2020,6,0.2873953592135399
2020,7,0.2525000067894338
2020,8,0.21390350570921837
2020,9,0.17609785601467218
2020,10,0.17296928670043588
2020,11,0.21888162283299048
2020,12,0.2560336888517865
2021,1,
2021,2,0.3521764135047162
2021,3,0.18534451025720858
2021,4,0.3413331668139549
2021,5,0.3343114106253434
2021,6,0.3025708482777213
2021,7,0.27312260120675724
2021,8,0.2319522950516958
2021,9,0.19978195850360825
2021,10,0.18150863090045607
2021,11,0.24635184959797396
2021,12,0.34333993679732977
2022,1,0.3252813760740512
2022,2,0.24471728569445542
2022,3,
2022,4,0.367663914578944
2022,5,0.2778377478866351
2022,6,0.33002947739420074
2022,7,0.25719586190463317
2022,8,0.22026261434321168
2022,9,0.19375068183295896
2022,10,0.19885417770456773
2022,11,0.23484848975531378
2022,12,0.25076361337948844
