system:index,CHIRPS,date,.geo
0,84.24543510950527,2012-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,136.25248228586636,2012-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,149.63703140845664,2012-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,100.88877125886769,2012-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,35.27469939451951,2012-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.319429030785194,2012-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.148452905508188,2012-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.306030475176296,2012-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,57.88885688781738,2012-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,65.36632772592397,2012-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,73.16046410340529,2012-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,95.45645633110632,2012-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,63.09008523134085,2013-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,115.9657762325727,2013-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,172.70187023969794,2013-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,91.54936959193302,2013-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,40.817125467153694,2013-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.138849625220665,2013-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.2282566657433143,2013-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.166858618076029,2013-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,42.50763181539681,2013-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,66.41253023881178,2013-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,68.14609530338875,2013-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,76.53140278962941,2013-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,74.7845525099681,2014-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,128.13100367326004,2014-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,210.6679851091825,2014-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,69.43594338343694,2014-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,37.47659360445462,2014-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,3.0966116831852837,2014-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,3.2413984445425177,2014-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,8.217031588921179,2014-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,38.89896583557128,2014-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,58.55284015948954,2014-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,70.70690212799951,2014-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,75.79907989501952,2014-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,70.30657214384811,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,127.68206684405986,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,144.26873966363758,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
