fecha_mensual,Prec_UH_OBS,n_estaciones_validas,Fuente,UH
2012-01-01,193.8,2,Promedio >=2 estaciones,Matoc
2012-02-01,217.40000000000003,2,Promedio >=2 estaciones,Matoc
2012-03-01,125.19999999999999,2,Promedio >=2 estaciones,Matoc
2012-04-01,,0,Sin datos,Matoc
2012-05-01,,0,Sin datos,Matoc
2012-06-01,5.2,2,Promedio >=2 estaciones,Matoc
2012-07-01,1.1,2,Promedio >=2 estaciones,Matoc
2012-08-01,3.1333333333333333,3,Promedio >=2 estaciones,Matoc
2012-09-01,37.0,2,Promedio >=2 estaciones,Matoc
2012-10-01,72.4,3,Promedio >=2 estaciones,Matoc
2012-11-01,179.4,3,Promedio >=2 estaciones,Matoc
2012-12-01,169.13333333333333,3,Promedio >=2 estaciones,Matoc
2013-01-01,129.13333333333333,3,Promedio >=2 estaciones,Matoc
2013-02-01,147.4,3,Promedio >=2 estaciones,Matoc
2013-03-01,309.4,1,1 estación,Matoc
2013-04-01,128.79999999999995,1,1 estación,Matoc
2013-05-01,53.2,2,Promedio >=2 estaciones,Matoc
2013-06-01,4.0,2,Promedio >=2 estaciones,Matoc
2013-07-01,4.133333333333333,3,Promedio >=2 estaciones,Matoc
2013-08-01,15.933333333333335,3,Promedio >=2 estaciones,Matoc
2013-09-01,17.933333333333334,3,Promedio >=2 estaciones,Matoc
2013-10-01,128.73333333333335,3,Promedio >=2 estaciones,Matoc
2013-11-01,101.86666666666667,3,Promedio >=2 estaciones,Matoc
2013-12-01,138.0666666666667,3,Promedio >=2 estaciones,Matoc
2014-01-01,,0,Sin datos,Matoc
2014-02-01,,0,Sin datos,Matoc
2014-03-01,,0,Sin datos,Matoc
2014-04-01,,0,Sin datos,Matoc
2014-05-01,71.20000000000002,1,1 estación,Matoc
2014-06-01,9.6,1,1 estación,Matoc
2014-07-01,15.1,2,Promedio >=2 estaciones,Matoc
2014-08-01,8.3,2,Promedio >=2 estaciones,Matoc
2014-09-01,61.0,1,1 estación,Matoc
