anio;meses_validos;meses_totales;meses_vacios;porcentaje;calidad;variable;;;;;;;;;
2012;3;3;0;100;Excelente;Q_matoc;;;anio -,Matoc;meses_validos;meses_totales;meses_vacios;porcentaje;calidad;variable
2013;11;11;0;100;Excelente;Q_matoc;;;2012;3;3;0;100;Excelente;Q_matoc
2014;9;9;0;100;Excelente;Q_matoc;;;2013;11;11;0;100;Excelente;Q_matoc
2015;2;2;0;100;Excelente;Q_matoc;;;2014;9;9;0;100;Excelente;Q_matoc
2016;0;0;0;0;Deficiente;Q_matoc;;;2015;2;2;0;100;Excelente;Q_matoc
2017;7;7;0;100;Excelente;Q_matoc;;;2016;0;0;0;0;Deficiente;Q_matoc
2018;11;11;0;100;Excelente;Q_matoc;;;2017;7;7;0;100;Excelente;Q_matoc
2019;0;0;0;0;Deficiente;Q_matoc;;;2018;11;11;0;100;Excelente;Q_matoc
2020;0;0;0;0;Deficiente;Q_matoc;;;2019;0;0;0;0;Deficiente;Q_matoc
2021;0;0;0;0;Deficiente;Q_matoc;;;2020;0;0;0;0;Deficiente;Q_matoc
2022;0;0;0;0;Deficiente;Q_matoc;;;2021;0;0;0;0;Deficiente;Q_matoc
2012;2;2;0;100;Excelente;Q_pocco;;;2022;0;0;0;0;Deficiente;Q_matoc
2013;12;12;0;100;Excelente;Q_pocco;;;;;;;;;
2014;9;9;0;100;Excelente;Q_pocco;;;;;;;;;
2015;2;2;0;100;Excelente;Q_pocco;;;anio-Pocco;meses_validos;meses_totales;meses_vacios;porcentaje;calidad;variable
2016;3;3;0;100;Excelente;Q_pocco;;;2012;2;2;0;100;Excelente;Q_pocco
2017;7;7;0;100;Excelente;Q_pocco;;;2013;12;12;0;100;Excelente;Q_pocco
2018;10;10;0;100;Excelente;Q_pocco;;;2014;9;9;0;100;Excelente;Q_pocco
2019;0;0;0;0;Deficiente;Q_pocco;;;2015;2;2;0;100;Excelente;Q_pocco
2020;0;0;0;0;Deficiente;Q_pocco;;;2016;3;3;0;100;Excelente;Q_pocco
2021;0;0;0;0;Deficiente;Q_pocco;;;2017;7;7;0;100;Excelente;Q_pocco
2022;0;0;0;0;Deficiente;Q_pocco;;;2018;10;10;0;100;Excelente;Q_pocco
2012;12;12;0;100;Excelente;T_matoc;;;2019;0;0;0;0;Deficiente;Q_pocco
2013;12;12;0;100;Excelente;T_matoc;;;2020;0;0;0;0;Deficiente;Q_pocco
2014;12;12;0;100;Excelente;T_matoc;;;2021;0;0;0;0;Deficiente;Q_pocco
2015;12;12;0;100;Excelente;T_matoc;;;2022;0;0;0;0;Deficiente;Q_pocco
2016;12;12;0;100;Excelente;T_matoc;;;;;;;;;
2017;12;12;0;100;Excelente;T_matoc;;;;;;;;;
2018;12;12;0;100;Excelente;T_matoc;;;;;;;;;
2019;12;12;0;100;Excelente;T_matoc;;;;;;;;;
2020;12;12;0;100;Excelente;T_matoc;;;;;;;;;
2021;12;12;0;100;Excelente;T_matoc;;;;;;;;;
2022;12;12;0;100;Excelente;T_matoc;;;;;;;;;
2012;12;12;0;100;Excelente;T_pocco;;;;;;;;;
2013;12;12;0;100;Excelente;T_pocco;;;;;;;;;
2014;12;12;0;100;Excelente;T_pocco;;;;;;;;;
2015;12;12;0;100;Excelente;T_pocco;;;;;;;;;
2016;12;12;0;100;Excelente;T_pocco;;;;;;;;;
2017;12;12;0;100;Excelente;T_pocco;;;;;;;;;
2018;12;12;0;100;Excelente;T_pocco;;;;;;;;;
2019;12;12;0;100;Excelente;T_pocco;;;;;;;;;
2020;12;12;0;100;Excelente;T_pocco;;;;;;;;;
2021;12;12;0;100;Excelente;T_pocco;;;;;;;;;
2022;12;12;0;100;Excelente;T_pocco;;;;;;;;;
2012;12;12;0;100;Excelente;P_matoc;;;;;;;;;
2013;12;12;0;100;Excelente;P_matoc;;;;;;;;;
2014;12;12;0;100;Excelente;P_matoc;;;;;;;;;
2015;12;12;0;100;Excelente;P_matoc;;;;;;;;;
2016;12;12;0;100;Excelente;P_matoc;;;;;;;;;
2017;12;12;0;100;Excelente;P_matoc;;;;;;;;;
2018;12;12;0;100;Excelente;P_matoc;;;;;;;;;
2019;12;12;0;100;Excelente;P_matoc;;;;;;;;;
2020;12;12;0;100;Excelente;P_matoc;;;;;;;;;
2021;12;12;0;100;Excelente;P_matoc;;;;;;;;;
2022;12;12;0;100;Excelente;P_matoc;;;;;;;;;
2012;12;12;0;100;Excelente;P_pocco;;;;;;;;;
2013;12;12;0;100;Excelente;P_pocco;;;;;;;;;
2014;12;12;0;100;Excelente;P_pocco;;;;;;;;;
2015;12;12;0;100;Excelente;P_pocco;;;;;;;;;
2016;12;12;0;100;Excelente;P_pocco;;;;;;;;;
2017;12;12;0;100;Excelente;P_pocco;;;;;;;;;
2018;12;12;0;100;Excelente;P_pocco;;;;;;;;;
2019;12;12;0;100;Excelente;P_pocco;;;;;;;;;
2020;12;12;0;100;Excelente;P_pocco;;;;;;;;;
2021;12;12;0;100;Excelente;P_pocco;;;;;;;;;
2022;12;12;0;100;Excelente;P_pocco;;;;;;;;;
