fecha,P_mm,PET_mm,Q_mm,anio,mes,usar_calibracion,usar_validacion,P_lag,Q_sim
2013-01-01,129.13,45.00420804980265,40.8,2013,1,True,False,129.13,51.896080799028454
2013-02-01,147.4,39.28978109845715,60.49,2013,2,True,False,147.4,69.22924791308985
2013-03-01,309.4,49.47275620442478,112.01,2013,3,True,False,309.4,166.44479303130245
2013-04-01,128.8,54.18429173262128,72.41,2013,4,True,False,128.8,76.33043229307972
2013-06-01,4.0,64.78576315403562,4.98,2013,6,True,False,4.0,20.98277644775683
2013-07-01,4.13,62.4515731548739,4.11,2013,7,True,False,4.13,14.701383797178698
2013-08-01,15.93,59.91326408318889,2.66,2013,8,True,False,15.93,11.170130520987424
2013-09-01,17.93,51.88378393326927,3.74,2013,9,True,False,17.93,8.982121256164469
2013-10-01,128.73,61.2279476632776,8.44,2013,10,True,False,128.73,32.67390114228831
2013-11-01,101.87,40.10169254658262,24.6,2013,11,True,False,101.87,34.425591639276654
2013-12-01,138.07,49.23812091990188,61.36,2013,12,True,False,138.07,49.5699526770356
2014-01-01,88.0,39.5419608436009,59.11,2014,1,True,False,88.0,36.50117933712862
2014-02-01,105.16,37.55696011634487,82.02,2014,2,True,False,105.16,47.141827467710826
2014-03-01,133.66,45.81860372091714,109.21,2014,3,True,False,133.66,60.47448506547694
2014-04-01,54.1,55.021832683409976,48.28,2014,4,True,False,54.1,19.952471786404292
2014-07-01,15.1,67.34553575395972,7.27,2014,7,True,False,15.1,10.248927123790288
2014-08-01,8.3,58.60492811867999,4.27,2014,8,True,False,8.3,7.680276673950081
2014-09-01,61.0,51.77651094374805,6.19,2014,9,True,False,61.0,10.099890466505759
2014-10-01,59.2,63.46214204371199,7.57,2014,10,True,False,59.2,7.178027585826213
2014-11-01,79.0,41.92855019598847,26.17,2014,11,True,False,79.0,18.38795306832707
2015-03-01,158.32,44.68666034662842,91.08,2015,3,True,False,158.32,69.99586122907718
2015-04-01,108.48,50.76914678632905,56.43,2015,4,True,False,108.48,48.66408942417469
