fecha,P_mm,PET_mm,Q_mm,anio,mes,usar_calibracion,usar_validacion,Q_sim_lutz
2013-01-01,129.13,45.00420804980265,40.8,2013,1,True,False,52.019573198955214
2013-02-01,147.4,39.28978109845715,60.49,2013,2,True,False,66.85045472181959
2013-03-01,309.4,49.47275620442478,112.01,2013,3,True,False,160.7272154184444
2013-04-01,128.8,54.18429173262128,72.41,2013,4,True,False,46.13896889439851
2013-06-01,4.0,64.78576315403562,4.98,2013,6,True,False,0.0
2013-07-01,4.13,62.4515731548739,4.11,2013,7,True,False,0.0
2013-08-01,15.93,59.91326408318889,2.66,2013,8,True,False,0.0
2013-09-01,17.93,51.88378393326927,3.74,2013,9,True,False,0.0
2013-10-01,128.73,61.2279476632776,8.44,2013,10,True,False,15.840832143231463
2013-11-01,101.87,40.10169254658262,24.6,2013,11,True,False,38.19471908033644
2013-12-01,138.07,49.23812091990188,61.36,2013,12,True,False,54.92960397856989
2014-01-01,88.0,39.5419608436009,59.11,2014,1,True,False,29.964253013706436
2014-02-01,105.16,37.55696011634487,82.02,2014,2,True,False,41.80265291031758
2014-03-01,133.66,45.81860372091714,109.21,2014,3,True,False,54.317134349752365
2014-04-01,54.1,55.021832683409976,48.28,2014,4,True,False,0.0
2014-07-01,15.1,67.34553575395972,7.27,2014,7,True,False,0.0
2014-08-01,8.3,58.60492811867999,4.27,2014,8,True,False,0.0
2014-09-01,61.0,51.77651094374805,6.19,2014,9,True,False,0.0
2014-10-01,59.2,63.46214204371199,7.57,2014,10,True,False,0.0
2014-11-01,79.0,41.92855019598847,26.17,2014,11,True,False,13.060350162133346
2015-03-01,158.32,44.68666034662842,91.08,2015,3,True,False,70.2657020267901
2015-04-01,108.48,50.76914678632905,56.43,2015,4,True,False,35.68577345340134
