fecha,P_mm,PET_mm,Q_mm,anio,mes,usar_calibracion,usar_validacion,P_lag,Q_sim
2013-01-01,106.8,45.053665839243735,53.29,2013,1,True,False,106.8,39.948026446250246
2013-02-01,176.5,39.20731021459345,74.91,2013,2,True,False,176.5,79.94045964508831
2013-03-01,374.6,47.53246777620449,125.11,2013,3,True,False,374.6,208.22327592143196
2013-04-01,75.2,50.32580816983887,69.43,2013,4,True,False,75.2,49.43404755507079
2013-05-01,26.73,47.5261689664876,24.32,2013,5,True,False,26.73,28.172232176829812
2013-06-01,2.2,58.01378073337157,9.99,2013,6,True,False,2.2,19.587810771652162
2013-07-01,2.93,55.59453045028854,6.06,2013,7,True,False,2.93,14.096291364729115
2013-08-01,14.93,54.78762248990257,4.23,2013,8,True,False,14.93,10.906410840782286
2013-09-01,18.93,48.22023147295386,3.53,2013,9,True,False,18.93,8.948156438775154
2013-10-01,153.0,55.35159387363619,17.83,2013,10,True,False,153.0,44.71277707972972
2013-11-01,130.87,40.0962621236655,56.21,2013,11,True,False,130.87,49.208447786578134
2013-12-01,167.6,47.34720164252949,81.67,2013,12,True,False,167.6,69.93935557273737
2014-01-01,102.28,39.52712586895856,76.72,2014,1,True,False,102.28,49.520924776624845
2014-02-01,123.27,37.47586089723538,99.86,2014,2,True,False,123.27,63.78543595142831
2014-03-01,158.1,43.94101804745367,110.63,2014,3,True,False,158.1,83.8439634879485
2014-04-01,60.85,51.20258393047301,50.58,2014,4,True,False,60.85,30.55651407174988
2014-07-01,16.4,60.32379477377647,9.39,2014,7,True,False,16.4,12.889031403868408
2014-08-01,7.87,53.61206045807354,5.95,2014,8,True,False,7.87,9.735757220085109
2014-09-01,52.93,48.171930312040566,5.86,2014,9,True,False,52.93,10.895638088008226
2014-10-01,94.93,57.57938129100475,10.51,2014,10,True,False,94.93,22.314372508554545
2014-11-01,132.0,41.975391978167856,49.07,2014,11,True,False,132.0,44.65986407014048
2015-03-01,234.5,42.78649562636871,94.83,2015,3,True,False,234.5,138.3501320757211
2015-04-01,98.0,47.029922442018645,61.78,2015,4,True,False,98.0,63.02135246228928
2016-03-01,143.3,50.30474029531637,66.55,2016,3,True,False,143.3,79.42851687818052
2016-04-01,104.4,52.51528311297764,38.62,2016,4,True,False,104.4,57.6794314752731
2016-05-01,19.4,46.77198579748442,9.72,2016,5,True,False,19.4,24.157547513628344
