fecha,P_mm,PET_mm,Q_mm,anio,mes,usar_calibracion,usar_validacion
2012-01-01,193.8,37.56967262996299,,2012,1,False,False
2012-02-01,217.4,35.24526112463962,,2012,2,False,False
2012-03-01,125.2,51.56724078399621,,2012,3,False,False
2012-04-01,142.27,52.516108063667176,,2012,4,False,False
2012-05-01,51.36,49.10548885105048,,2012,5,False,False
2012-06-01,5.2,64.22120922873339,,2012,6,False,False
2012-07-01,1.1,66.25563858412386,,2012,7,False,False
2012-08-01,3.13,60.98945398569421,,2012,8,False,False
2012-09-01,37.0,53.16158869987469,,2012,9,False,False
2012-10-01,72.4,65.36762437146845,3.55,2012,10,False,False
2012-11-01,179.4,40.5729276362615,34.76,2012,11,False,False
2012-12-01,169.13,49.76334976107999,54.41,2012,12,False,False
2013-01-01,129.13,45.00420804980265,40.8,2013,1,True,False
2013-02-01,147.4,39.28978109845715,60.49,2013,2,True,False
2013-03-01,309.4,49.47275620442478,112.01,2013,3,True,False
2013-04-01,128.8,54.18429173262128,72.41,2013,4,True,False
2013-05-01,53.2,49.700212182050464,,2013,5,True,False
2013-06-01,4.0,64.78576315403562,4.98,2013,6,True,False
2013-07-01,4.13,62.4515731548739,4.11,2013,7,True,False
2013-08-01,15.93,59.91326408318889,2.66,2013,8,True,False
2013-09-01,17.93,51.88378393326927,3.74,2013,9,True,False
2013-10-01,128.73,61.2279476632776,8.44,2013,10,True,False
2013-11-01,101.87,40.10169254658262,24.6,2013,11,True,False
2013-12-01,138.07,49.23812091990188,61.36,2013,12,True,False
2014-01-01,88.0,39.5419608436009,59.11,2014,1,True,False
2014-02-01,105.16,37.55696011634487,82.02,2014,2,True,False
2014-03-01,133.66,45.81860372091714,109.21,2014,3,True,False
2014-04-01,54.1,55.021832683409976,48.28,2014,4,True,False
2014-05-01,71.2,45.47317505872902,,2014,5,True,False
2014-06-01,9.6,63.33445412266426,,2014,6,True,False
2014-07-01,15.1,67.34553575395972,7.27,2014,7,True,False
2014-08-01,8.3,58.60492811867999,4.27,2014,8,True,False
2014-09-01,61.0,51.77651094374805,6.19,2014,9,True,False
2014-10-01,59.2,63.46214204371199,7.57,2014,10,True,False
2014-11-01,79.0,41.92855019598847,26.17,2014,11,True,False
2014-12-01,152.0,51.22378780888023,,2014,12,True,False
2015-01-01,170.0,39.3431071434778,,2015,1,True,False
2015-02-01,80.59,37.27995955184939,,2015,2,True,False
2015-03-01,158.32,44.68666034662842,91.08,2015,3,True,False
2015-04-01,108.48,50.76914678632905,56.43,2015,4,True,False
2015-05-01,96.97,44.85636087419197,,2015,5,True,False
2015-06-01,14.02,60.27423870261941,,2015,6,True,False
2015-07-01,14.89,64.08642479682939,,2015,7,True,False
2015-08-01,18.38,60.93230728393961,,2015,8,True,False
2015-09-01,39.64,55.91098675437788,,2015,9,True,False
2015-10-01,83.9,68.20972650693795,,2015,10,True,False
2015-11-01,154.83,44.722944423490574,,2015,11,True,False
2015-12-01,113.6,54.15754166045675,,2015,12,True,False
2016-01-01,68.8,46.26126758820654,,2016,1,True,False
2016-02-01,128.18,39.51667312404535,,2016,2,True,False
2016-03-01,111.26,52.296898901559054,,2016,3,True,False
2016-04-01,109.7,56.459331164993145,,2016,4,True,False
2016-05-01,27.44,48.93744022869358,,2016,5,True,False
2016-06-01,16.81,59.35861746770159,,2016,6,True,False
2016-07-01,10.36,62.89068155865905,,2016,7,True,False
2016-08-01,22.21,61.13284263075335,,2016,8,True,False
2016-09-01,29.53,51.17525666503966,,2016,9,True,False
2016-10-01,89.65,61.11364109828154,,2016,10,True,False
2016-11-01,31.45,42.35627565016577,,2016,11,True,False
2016-12-01,199.5,46.15833918816462,,2016,12,True,False
2017-01-01,168.4,36.697762552769,,2017,1,False,True
2017-02-01,217.13,33.4574893278603,,2017,2,False,True
2017-03-01,248.76,44.400520732129486,81.18,2017,3,False,True
2017-04-01,126.43,54.91540036604433,41.33,2017,4,False,True
2017-05-01,101.68,47.76374460642847,34.07,2017,5,False,True
2017-06-01,15.94,64.71751711567137,,2017,6,False,True
2017-07-01,8.27,62.75229366408946,,2017,7,False,True
2017-08-01,15.77,59.494040641526055,,2017,8,False,True
2017-09-01,64.8,53.54295433489497,1.36,2017,9,False,True
2017-10-01,83.27,65.48069377240762,2.03,2017,10,False,True
2017-11-01,59.86,39.24147263580835,1.29,2017,11,False,True
2017-12-01,157.97,46.94355631510552,28.07,2017,12,False,True
2018-01-01,163.81,36.74005405836056,44.34,2018,1,False,True
