fecha,P_mm,PET_mm,Q_mm,anio,mes,usar_calibracion,usar_validacion
2012-01-01,189.5,37.49444766157463,,2012,1,False,False
2012-02-01,234.0,35.107450873146504,,2012,2,False,False
2012-03-01,120.4,49.60269033372342,,2012,3,False,False
2012-04-01,142.85,48.717020709488175,,2012,4,False,False
2012-05-01,53.69,46.95033675580646,,2012,5,False,False
2012-06-01,6.0,57.48867864357996,,2012,6,False,False
2012-07-01,2.6,59.19382226624598,,2012,7,False,False
2012-08-01,2.7,55.822784838176894,,2012,8,False,False
2012-09-01,25.7,49.47100244960436,,2012,9,False,False
2012-10-01,54.2,59.3124716979256,,2012,10,False,False
2012-11-01,167.07,40.58403971449056,49.79,2012,11,False,False
2012-12-01,153.07,47.87757647106777,74.96,2012,12,False,False
2013-01-01,106.8,45.053665839243735,53.29,2013,1,True,False
2013-02-01,176.5,39.20731021459345,74.91,2013,2,True,False
2013-03-01,374.6,47.53246777620449,125.11,2013,3,True,False
2013-04-01,75.2,50.32580816983887,69.43,2013,4,True,False
2013-05-01,26.73,47.5261689664876,24.32,2013,5,True,False
2013-06-01,2.2,58.01378073337157,9.99,2013,6,True,False
2013-07-01,2.93,55.59453045028854,6.06,2013,7,True,False
2013-08-01,14.93,54.78762248990257,4.23,2013,8,True,False
2013-09-01,18.93,48.22023147295386,3.53,2013,9,True,False
2013-10-01,153.0,55.35159387363619,17.83,2013,10,True,False
2013-11-01,130.87,40.0962621236655,56.21,2013,11,True,False
2013-12-01,167.6,47.34720164252949,81.67,2013,12,True,False
2014-01-01,102.28,39.52712586895856,76.72,2014,1,True,False
2014-02-01,123.27,37.47586089723538,99.86,2014,2,True,False
2014-03-01,158.1,43.94101804745367,110.63,2014,3,True,False
2014-04-01,60.85,51.20258393047301,50.58,2014,4,True,False
2014-05-01,47.53,43.39310527316766,,2014,5,True,False
2014-06-01,11.63,56.75085848908365,,2014,6,True,False
2014-07-01,16.4,60.32379477377647,9.39,2014,7,True,False
2014-08-01,7.87,53.61206045807354,5.95,2014,8,True,False
2014-09-01,52.93,48.171930312040566,5.86,2014,9,True,False
2014-10-01,94.93,57.57938129100475,10.51,2014,10,True,False
2014-11-01,132.0,41.975391978167856,49.07,2014,11,True,False
2014-12-01,206.33,49.36078522676213,,2014,12,True,False
2015-01-01,245.27,39.31140022466489,,2015,1,True,False
2015-02-01,72.8,37.17965868174836,,2015,2,True,False
2015-03-01,234.5,42.78649562636871,94.83,2015,3,True,False
2015-04-01,98.0,47.029922442018645,61.78,2015,4,True,False
2015-05-01,141.2,42.755489158536015,,2015,5,True,False
2015-06-01,16.1,53.79219068620056,,2015,6,True,False
2015-07-01,3.4,57.18137704014362,,2015,7,True,False
2015-08-01,25.6,55.79374286824357,,2015,8,True,False
2015-09-01,37.0,52.15088812122728,,2015,9,True,False
2015-10-01,103.6,62.04079559831627,,2015,10,True,False
2015-11-01,172.2,44.77233784939493,,2015,11,True,False
2015-12-01,106.8,52.222730361521535,,2015,12,True,False
2016-01-01,114.0,46.30995799864992,,2016,1,True,False
2016-02-01,206.4,39.43033255228552,,2016,2,True,False
2016-03-01,143.3,50.30474029531637,66.55,2016,3,True,False
2016-04-01,104.4,52.51528311297764,38.62,2016,4,True,False
2016-05-01,19.4,46.77198579748442,9.72,2016,5,True,False
2016-06-01,9.1,52.88432938866587,,2016,6,True,False
2016-07-01,1.4,56.0076363418767,,2016,7,True,False
2016-08-01,6.5,55.94908391497701,,2016,8,True,False
2016-09-01,30.81,47.524153743815226,,2016,9,True,False
2016-10-01,104.31,55.237639954615936,,2016,10,True,False
2016-11-01,33.15,42.3740344086596,,2016,11,True,False
2016-12-01,220.63,44.2683049349903,,2016,12,True,False
2017-01-01,249.39,36.59621941246586,,2017,1,False,True
2017-02-01,232.77,33.280261921868615,,2017,2,False,True
2017-03-01,298.81,42.56968499371581,101.15,2017,3,False,True
2017-04-01,149.26,51.22836330371068,52.97,2017,4,False,True
2017-05-01,119.01,45.74786560841916,51.18,2017,5,False,True
2017-06-01,14.19,58.26232772528483,,2017,6,False,True
2017-07-01,4.82,56.16428500453762,,2017,7,False,True
2017-08-01,13.98,54.62175264374815,,2017,8,False,True
2017-09-01,68.52,50.01227814711163,3.41,2017,9,False,True
2017-10-01,103.45,59.693349861191386,7.59,2017,10,False,True
2017-11-01,67.88,39.27074928870848,6.99,2017,11,False,True
2017-12-01,187.82,45.15140247952545,51.18,2017,12,False,True
2018-01-01,194.96,36.63189894048704,62.28,2018,1,False,True
2018-02-01,155.8,36.22351081113348,43.47,2018,2,False,True
2018-03-01,303.5,46.7093846871221,75.06,2018,3,False,True
2018-04-01,110.2,48.9007174604591,44.73,2018,4,False,True
2018-05-01,61.4,45.56644876397688,13.17,2018,5,False,True
2018-06-01,12.9,53.75416311748847,3.11,2018,6,False,True
2018-07-01,9.4,55.93587964986885,1.67,2018,7,False,True
2018-08-01,5.6,52.63489548469434,1.27,2018,8,False,True
2018-09-01,28.0,46.532815463089065,0.61,2018,9,False,True
2018-10-01,136.26,57.631162804858505,3.99,2018,10,False,True
2018-11-01,217.43,42.45096672459228,,2018,11,False,True
2018-12-01,182.92,51.22356456084558,,2018,12,False,True
2019-01-01,221.05,39.11062099728888,,2019,1,False,False
2019-02-01,241.72,35.35062502548834,,2019,2,False,False
2019-03-01,229.58,45.457452150646326,,2019,3,False,False
2019-04-01,155.44,52.534421089974174,,2019,4,False,False
2019-05-01,47.21,49.68818661406917,,2019,5,False,False
2019-06-01,21.01,57.70331234527125,,2019,6,False,False
2019-07-01,19.09,60.96417748786302,,2019,7,False,False
2019-08-01,2.47,53.68516722536678,,2019,8,False,False
2019-09-01,64.04,52.81231503379408,,2019,9,False,False
2019-10-01,97.92,58.26322890894133,,2019,10,False,False
2019-11-01,121.35,39.57778323859412,,2019,11,False,False
2019-12-01,307.34,45.45044534511703,,2019,12,False,False
2020-01-01,123.27,40.56334065584536,,2020,1,False,False
2020-02-01,156.93,39.62102215503268,,2020,2,False,False
2020-03-01,199.11,47.30431810711367,,2020,3,False,False
2020-04-01,94.51,52.2170996492146,,2020,4,False,False
2020-05-01,118.58,48.0649940341081,,2020,5,False,False
2020-06-01,6.52,61.67267386164514,,2020,6,False,False
2020-07-01,25.48,61.190722545636994,,2020,7,False,False
2020-08-01,8.01,56.780034107676265,,2020,8,False,False
2020-09-01,61.7,49.50700365282882,,2020,9,False,False
2020-10-01,155.2,58.61544560888176,,2020,10,False,False
2020-11-01,79.72,39.44782148162469,,2020,11,False,False
2020-12-01,174.63,43.138893306780346,,2020,12,False,False
2021-01-01,116.04,37.962347313347685,,2021,1,False,False
2021-02-01,107.43,38.14508549081536,,2021,2,False,False
2021-03-01,215.94,42.710667184966,,2021,3,False,False
2021-04-01,121.33,52.74067718792968,,2021,4,False,False
2021-05-01,60.06,46.74638149097272,,2021,5,False,False
2021-06-01,6.11,59.14468381132921,,2021,6,False,False
2021-07-01,5.66,61.86701745265341,,2021,7,False,False
2021-08-01,9.75,56.12043141114167,,2021,8,False,False
2021-09-01,31.83,50.12597325725076,,2021,9,False,False
2021-10-01,81.32,64.06126107570428,,2021,10,False,False
2021-11-01,163.45,37.71133626122736,,2021,11,False,False
2021-12-01,148.83,47.38911633140564,,2021,12,False,False
2022-01-01,180.95,38.67193707260152,,2022,1,False,False
2022-02-01,172.38,36.092038572356046,,2022,2,False,False
2022-03-01,168.42,45.70662115730783,,2022,3,False,False
2022-04-01,130.13,52.3094575747973,,2022,4,False,False
2022-05-01,65.12,48.27158593274026,,2022,5,False,False
