fecha,P_mm,Tmed_c,ndvi,Q_mm
2012-01-01,193.8,8.62,0.12,75.32
2012-02-01,217.4,9.01,0.11,84.73
2012-03-01,125.2,11.56,0.13,50.75
2012-04-01,142.27,12.29,0.14,62.66
2012-05-01,51.36,11.5,0.14,21.8
2012-06-01,5.2,14.88,0.12,14.53
2012-07-01,1.1,14.8,0.1,10.05
2012-08-01,3.13,13.63,0.09,7.28
2012-09-01,37.0,12.26,0.09,6.4
2012-10-01,72.4,13.9,0.09,8.07
2012-11-01,179.4,9.47,0.1,52.55
2012-12-01,169.13,10.84,0.11,58.33
2013-01-01,129.13,10.0,0.12,51.9
2013-02-01,147.4,9.85,0.14,69.23
2013-03-01,309.4,11.16,0.15,166.44
2013-04-01,128.8,12.61,0.17,76.33
2013-05-01,53.2,11.61,0.16,32.84
2013-06-01,4.0,14.99,0.14,20.98
2013-07-01,4.13,14.09,0.12,14.7
2013-08-01,15.93,13.42,0.11,11.17
2013-09-01,17.93,12.01,0.11,8.98
2013-10-01,128.73,13.16,0.12,32.67
2013-11-01,101.87,9.37,0.14,34.43
2013-12-01,138.07,10.74,0.16,49.57
2014-01-01,88.0,8.81,0.17,36.5
2014-02-01,105.16,9.31,0.2,47.14
2014-03-01,133.66,10.3,0.0,60.47
2014-04-01,54.1,12.6,0.17,19.95
2014-05-01,71.2,10.61,0.15,30.35
2014-06-01,9.6,14.55,0.14,13.99
2014-07-01,15.1,14.84,0.13,10.25
2014-08-01,8.3,13.01,0.11,7.68
2014-09-01,61.0,11.82,0.05,10.1
2014-10-01,59.2,13.4,0.11,7.18
2014-11-01,79.0,9.55,0.12,18.39
2014-12-01,152.0,10.92,0.14,43.3
2015-01-01,170.0,8.87,0.16,64.61
2015-02-01,80.59,9.36,0.16,34.51
2015-03-01,158.32,10.19,0.15,70.0
2015-04-01,108.48,11.88,0.15,48.66
2015-05-01,96.97,10.59,0.15,47.1
2015-06-01,14.02,14.05,0.14,17.22
2015-07-01,14.89,14.33,0.12,12.68
2015-08-01,18.38,13.54,0.11,9.76
2015-09-01,39.64,12.71,0.11,8.54
2015-10-01,83.9,14.33,0.11,13.27
2015-11-01,154.83,10.19,0.11,48.77
2015-12-01,113.6,11.55,0.13,35.89
2016-01-01,68.8,10.23,0.15,22.66
2016-02-01,128.18,9.89,0.15,52.04
2016-03-01,111.26,11.68,0.18,43.34
2016-04-01,109.7,13.04,0.16,42.7
2016-05-01,27.44,11.45,0.14,16.63
2016-06-01,16.81,13.93,0.13,12.63
2016-07-01,10.36,14.16,0.12,9.3
2016-08-01,22.21,13.64,0.1,7.36
2016-09-01,29.53,11.87,0.1,6.33
2016-10-01,89.65,13.14,0.08,14.39
2016-11-01,31.45,9.8,0.11,6.49
2016-12-01,199.5,10.17,0.11,57.75
2017-01-01,168.4,7.92,0.11,65.14
2017-02-01,217.13,8.1,0.1,105.02
2017-03-01,248.76,9.68,0.13,138.4
2017-04-01,126.43,12.25,0.15,73.01
2017-05-01,101.68,10.71,0.15,61.94
2017-06-01,15.94,14.51,0.14,23.63
2017-07-01,8.27,13.66,0.19,16.72
2017-08-01,15.77,12.84,0.27,12.64
2017-09-01,64.8,11.82,0.1,16.18
2017-10-01,83.27,13.43,0.12,18.43
2017-11-01,59.86,8.68,0.14,19.52
2017-12-01,157.97,9.79,0.15,58.24
2018-01-01,163.81,7.88,0.14,75.5
2018-02-01,104.87,8.65,0.15,54.48
2018-03-01,233.2,10.4,0.15,122.98
2018-04-01,106.7,11.72,0.16,59.39
2018-05-01,63.8,10.62,0.14,36.53
2018-06-01,4.27,13.52,0.13,19.76
2018-07-01,5.6,13.56,0.12,13.97
2018-08-01,6.47,12.4,0.09,10.31
2018-09-01,16.4,11.07,0.15,8.33
2018-10-01,115.8,12.99,0.09,25.82
2018-11-01,182.19,9.22,0.16,64.4
2018-12-01,153.96,10.84,0.23,59.5
2019-01-01,185.15,9.06,0.39,90.65
2019-02-01,202.06,9.2,0.43,115.96
2019-03-01,192.12,10.92,0.47,115.89
2019-04-01,131.48,13.2,0.39,78.46
2019-05-01,42.95,12.19,0.26,30.64
2019-06-01,21.52,15.07,0.34,22.37
2019-07-01,19.95,15.29,0.28,16.32
2019-08-01,6.36,13.35,0.23,11.89
2019-09-01,56.72,13.07,0.2,11.12
2019-10-01,84.43,13.85,0.22,17.95
2019-11-01,103.6,9.42,0.23,35.72
2019-12-01,255.73,10.54,0.23,108.41
2020-01-01,105.16,9.62,0.35,53.77
2020-02-01,132.7,10.38,0.36,71.17
2020-03-01,167.2,11.57,0.41,90.05
2020-04-01,81.64,13.43,0.44,41.51
2020-05-01,101.33,12.16,0.41,53.57
2020-06-01,9.67,16.15,0.31,19.46
2020-07-01,25.18,15.62,0.27,14.61
2020-08-01,10.89,14.25,0.21,10.75
2020-09-01,54.8,12.71,0.2,10.6
2020-10-01,152.79,14.21,0.18,43.32
2020-11-01,76.05,9.69,0.22,27.25
2020-12-01,172.3,10.41,0.26,69.53
2021-01-01,115.85,9.02,0.33,55.13
2021-02-01,104.77,9.97,0.4,52.96
2021-03-01,213.91,10.58,0.01,112.93
2021-04-01,121.27,13.43,0.42,63.88
2021-05-01,57.51,11.79,0.38,31.8
2021-06-01,3.44,15.54,0.33,18.64
2021-07-01,3.18,15.64,0.3,12.69
2021-08-01,9.38,14.01,0.25,9.35
2021-09-01,31.01,12.72,0.19,7.94
2021-10-01,81.43,15.1,0.24,10.96
2021-11-01,157.33,9.25,0.28,50.41
2021-12-01,145.36,11.08,0.25,50.87
2022-01-01,177.53,9.21,0.29,79.06
2022-02-01,170.01,9.6,0.26,89.08
2022-03-01,168.97,11.21,0.38,91.98
2022-04-01,131.5,13.4,0.42,70.8
2022-05-01,62.7,12.15,0.3,34.75
2022-06-01,18.7,15.05,0.37,20.87
2022-07-01,6.7,15.67,0.29,14.36
2022-08-01,14.3,14.5,0.24,10.65
2022-09-01,45.3,12.68,0.21,9.63
2022-10-01,47.9,14.55,0.23,8.35
2022-11-01,2.6,10.42,0.26,6.6
2022-12-01,136.83,10.88,0.25,34.87
