Year,Month,NDVI,Date
2012,1,0.1185517751995835,2012-01-01
2012,2,0.1088877394795417,2012-02-01
2012,3,0.1268879472569757,2012-03-01
2012,4,0.1392633232021,2012-04-01
2012,5,0.1351156876882625,2012-05-01
2012,6,0.116520687754266,2012-06-01
2012,7,0.101566482219951,2012-07-01
2012,8,0.0941569147158392,2012-08-01
2012,9,0.0900979318914435,2012-09-01
2012,10,0.0935394046549577,2012-10-01
2012,11,0.10150679407954846,2012-11-01
2012,12,0.1094741835041392,2012-12-01
2013,1,0.12448226487088013,2013-01-01
2013,2,0.13949034623762105,2013-02-01
2013,3,0.15449842760436197,2013-03-01
2013,4,0.1695065089711029,2013-04-01
2013,5,0.1572212823450853,2013-05-01
2013,6,0.1399411031999482,2013-06-01
2013,7,0.1239012511711733,2013-07-01
2013,8,0.1055263137155763,2013-08-01
2013,9,0.1064505496865781,2013-09-01
2013,10,0.12275188774581505,2013-10-01
2013,11,0.139053225805052,2013-11-01
2013,12,0.15535456386428895,2013-12-01
2014,1,0.1716559019235259,2014-01-01
2014,2,0.1989870434397546,2014-02-01
2014,3,-0.0047087135791374,2014-03-01
2014,4,0.1741680614920869,2014-04-01
2014,5,0.1531244246067281,2014-05-01
2014,6,0.1377474943115358,2014-06-01
2014,7,0.1279993341983886,2014-07-01
2014,8,0.1120431724696977,2014-08-01
2014,9,0.0486373307581352,2014-09-01
2014,10,0.1137383083639536,2014-10-01
2014,11,0.1193690114529589,2014-11-01
2014,12,0.1420685433204072,2014-12-01
2015,1,0.1596422557466036,2015-01-01
2015,2,0.1573547932013413,2015-02-01
2015,3,0.15445035919934325,2015-03-01
2015,4,0.1515459251973452,2015-04-01
2015,5,0.1494709688260617,2015-05-01
2015,6,0.1363486350514001,2015-06-01
2015,7,0.1177966804441765,2015-07-01
2015,8,0.11332418065137345,2015-08-01
2015,9,0.1088516808585704,2015-09-01
2015,10,0.1089499810713554,2015-10-01
2015,11,0.110406209040525,2015-11-01
2015,12,0.1326061098135634,2015-12-01
2016,1,0.1511096532261851,2016-01-01
2016,2,0.1494658080637759,2016-02-01
2016,3,0.1839818933723274,2016-03-01
2016,4,0.1555388772956243,2016-04-01
2016,5,0.1436969211889934,2016-05-01
2016,6,0.1283294222816891,2016-06-01
2016,7,0.1180850770564173,2016-07-01
2016,8,0.1035509387537385,2016-08-01
2016,9,0.0988094007680816,2016-09-01
2016,10,0.0816349684078148,2016-10-01
2016,11,0.1072818720055149,2016-11-01
2016,12,0.10884715658479845,2016-12-01
2017,1,0.110412441164082,2017-01-01
2017,2,0.1020023034464928,2017-02-01
2017,3,0.12735302988370445,2017-03-01
2017,4,0.1527037563209161,2017-04-01
2017,5,0.1491998162241966,2017-05-01
2017,6,0.1427768752504827,2017-06-01
2017,7,0.1915152622323591,2017-07-01
2017,8,0.2686227947728395,2017-08-01
2017,9,0.1046438503681161,2017-09-01
2017,10,0.1187298900881069,2017-10-01
2017,11,0.13507225478824994,2017-11-01
2017,12,0.151414619488393,2017-12-01
2018,1,0.1440643270391532,2018-01-01
2018,2,0.14809658248277793,2018-02-01
2018,3,0.15212883792640267,2018-03-01
2018,4,0.1561610933700274,2018-04-01
2018,5,0.1420867197042481,2018-05-01
2018,6,0.1337934927438601,2018-06-01
2018,7,0.1186972177120006,2018-07-01
2018,8,0.0948357815380639,2018-08-01
2018,9,0.1545292869413089,2018-09-01
2018,10,0.0925421071592474,2018-10-01
2018,11,0.16131817482923272,2018-11-01
2018,12,0.230094242499218,2018-12-01
2019,1,0.3879580623719564,2019-01-01
2019,2,0.4303494408760044,2019-02-01
2019,3,0.4727408193800524,2019-03-01
2019,4,0.389461028265544,2019-04-01
2019,5,0.2619533604438255,2019-05-01
2019,6,0.3396637431319793,2019-06-01
2019,7,0.2785370091651323,2019-07-01
2019,8,0.2292997898280852,2019-08-01
2019,9,0.2042879434476476,2019-09-01
2019,10,0.2234995518482827,2019-10-01
2019,11,0.2271613394101008,2019-11-01
2019,12,0.2308231269719189,2019-12-01
2020,1,0.3460096747850806,2020-01-01
2020,2,0.3551299325397334,2020-02-01
2020,3,0.4130480082805541,2020-03-01
2020,4,0.4424480104000676,2020-04-01
2020,5,0.4149624442038463,2020-05-01
2020,6,0.3121024599000728,2020-06-01
2020,7,0.2746032372660266,2020-07-01
2020,8,0.2123000812072346,2020-08-01
2020,9,0.1987579682169605,2020-09-01
2020,10,0.1815021483473932,2020-10-01
2020,11,0.2208668958533782,2020-11-01
2020,12,0.2612460952069506,2020-12-01
2021,1,0.32881724972654053,2021-01-01
2021,2,0.3963884042461305,2021-02-01
2021,3,0.0117448131516615,2021-03-01
2021,4,0.4188943546041081,2021-04-01
2021,5,0.3810505419287076,2021-05-01
2021,6,0.3251271507872001,2021-06-01
2021,7,0.3000778473442969,2021-07-01
2021,8,0.2491379380063755,2021-08-01
2021,9,0.1927062576213627,2021-09-01
2021,10,0.2357363678073252,2021-10-01
2021,11,0.2790442258309026,2021-11-01
2021,12,0.2542290242246592,2021-12-01
2022,1,0.2919293032966009,2022-01-01
2022,2,0.2610040007039643,2022-02-01
2022,3,0.3761124659708079,2022-03-01
2022,4,0.4172054822752223,2022-04-01
2022,5,0.3047846905357273,2022-05-01
2022,6,0.366886902102299,2022-06-01
2022,7,0.288841070316513,2022-07-01
2022,8,0.2378801624469522,2022-08-01
2022,9,0.2104279539303774,2022-09-01
2022,10,0.2265994502767997,2022-10-01
2022,11,0.2596364752630496,2022-11-01
2022,12,0.2533650458300461,2022-12-01
