Year,Month,NDVI
2012,1,0.1338402870935077
2012,2,0.1339182616859769
2012,3,0.1227119406225563
2012,4,0.1311432672975833
2012,5,0.1275728714784882
2012,6,0.1112401840501435
2012,7,0.0939185295420283
2012,8,0.0896368575700493
2012,9,0.0855923477480323
2012,10,0.0866300414081036
2012,11,0.10831715245732665
2012,12,0.1300042635065497
2013,1,0.1362300981641428
2013,2,0.1424559328217359
2013,3,0.14868176747932899
2013,4,0.1549076021369221
2013,5,0.1427665829774594
2013,6,0.1304112018003098
2013,7,0.1181445694765195
2013,8,0.0949821803866087
2013,9,0.101920751631445
2013,10,0.1223714164935217
2013,11,0.13315654111779068
2013,12,0.14394166574205963
2014,1,0.1547267903663286
2014,2,0.0790115097461055
2014,3,0.1529377303878007
2014,4,0.1687766001881833
2014,5,0.1443113506090369
2014,6,0.1382045251487431
2014,7,0.118361012030196
2014,8,0.107720219074483
2014,9,0.0908629757875246
2014,10,0.1036322033805751
2014,11,0.1086430151637919
2014,12,0.1312226445983433
2015,1,0.1291992570077448
2015,2,0.1441284804538461
2015,3,0.1847291222948106
2015,4,0.1498875745704827
2015,5,0.1376145719764463
2015,6,0.1277342236773767
2015,7,0.115310875972239
2015,8,0.11020894795842465
2015,9,0.1051070199446103
2015,10,0.0994326144880638
2015,11,0.1023708231219934
2015,12,0.1302586351094739
2016,1,0.1421409628797215
2016,2,0.1436835777228302
2016,3,0.1786021145414123
2016,4,0.1460530641052888
2016,5,0.1353853757240932
2016,6,0.1217784029612065
2016,7,0.1127411416770718
2016,8,0.1017005484075281
2016,9,0.0962737722914003
2016,10,0.1103386636277823
2016,11,0.0929761300254964
2016,12,0.0982345598849294
2017,1,0.1034929897443624
2017,2,0.11527468801775123
2017,3,0.12705638629114008
2017,4,0.1388380845645289
2017,5,0.1411423185606461
2017,6,0.1345904185384019
2017,7,0.1689078780710524
2017,8,0.2504714844548683
2017,9,0.1001433745852615
2017,10,0.1108113461003368
2017,11,0.13025196732421296
2017,12,0.1496925885480891
2018,1,0.1407750277927303
2018,2,0.14287480558789212
2018,3,0.14497458338305397
2018,4,0.1470743611782158
2018,5,0.1439118319831146
2018,6,0.1295734468867356
2018,7,0.1612856535673207
2018,8,0.1038391581184858
2018,9,0.1454187677986726
2018,10,0.0919350871843619
2018,11,0.125781483190427
2018,12,0.1337506797400769
2019,1,0.3578674649135911
2019,2,0.38759884123055116
2019,3,0.4173302175475112
2019,4,0.3508619934534432
2019,5,0.2557649124024019
2019,6,0.3032307967095943
2019,7,0.2466574824412425
2019,8,0.2147182860459115
2019,9,0.1952262390786429
2019,10,0.2067640818806586
2019,11,0.25510431564668623
2019,12,0.3034445494127138
2020,1,0.3202694131098045
2020,2,0.3112302229939785
2020,3,0.3741324414710232
2020,4,0.3906304573936311
2020,5,0.3740303543107581
2020,6,0.2873953592135399
2020,7,0.2525000067894338
2020,8,0.2139035057092183
2020,9,0.1760978560146721
2020,10,0.1729692867004358
2020,11,0.2188816228329904
2020,12,0.2560336888517865
2021,1,0.3041050511782514
2021,2,0.3521764135047162
2021,3,0.1853445102572085
2021,4,0.3413331668139549
2021,5,0.3343114106253434
2021,6,0.3025708482777213
2021,7,0.2731226012067572
2021,8,0.2319522950516958
2021,9,0.1997819585036082
2021,10,0.181508630900456
2021,11,0.2463518495979739
2021,12,0.3433399367973297
2022,1,0.3252813760740512
2022,2,0.2447172856944554
2022,3,0.3061906001366997
2022,4,0.367663914578944
2022,5,0.2778377478866351
2022,6,0.3300294773942007
2022,7,0.2571958619046331
2022,8,0.2202626143432116
2022,9,0.1937506818329589
2022,10,0.1988541777045677
2022,11,0.2348484897553137
2022,12,0.2507636133794884
