Year,NDVI,Serie
2012,0.1112974059705507,Matoc
2013,0.13651481043479025,Matoc
2014,0.12456915939650293,Matoc
2015,0.13339564825847158,Matoc
2016,0.12752766575041338,Matoc
2017,0.1462039078356616,Matoc
2018,0.1440289886621284,Matoc
2019,0.30631126792837743,Matoc
2020,0.3027480796839415,Matoc
2021,0.28107951460660585,Matoc
2022,0.29122275024569666,Matoc
2012,0.11287716708333334,Pocco
2013,0.13083085908333333,Pocco
2014,0.124867548,Pocco
2015,0.12799851216666666,Pocco
2016,0.12332569291666667,Pocco
2017,0.13922279383333333,Pocco
2018,0.13035175841666666,Pocco
2019,0.29121409833333334,Pocco
2020,0.27894445025,Pocco
2021,0.27462988325,Pocco
2022,0.26728298675,Pocco
