Month,NDVI,Serie
1,0.21223935539547198,Matoc
2,0.22246876315610342,Matoc
3,0.1971125353133685,Matoc
4,0.25153603830855864,Matoc
5,0.2175151688814257,Matoc
6,0.2072034515013394,Matoc
7,0.18560186082967592,Matoc
8,0.16551618800961598,Matoc
9,0.13801819586259836,Matoc
10,0.14538400597918652,Matoc
11,0.16915604348713756,Matoc
12,0.18450206466439845,Matoc
1,0.20435715618181816,Pocco
2,0.19973363827272728,Pocco
3,0.21297194663636362,Pocco
4,0.22610637145454546,Pocco
5,0.2013317571818182,Pocco
6,0.1924326259090909,Pocco
7,0.17010908345454545,Pocco
8,0.15769983027272727,Pocco
9,0.13547052245454547,Pocco
10,0.13534877581818183,Pocco
11,0.15969849,Pocco
12,0.188244257,Pocco
