system:index,CHIRPS,date,.geo
0,92.26726627349854,2012-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,154.14844179153442,2012-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,146.80887651443481,2012-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,98.70211672782898,2012-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,39.212453842163086,2012-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5.6419899463653564,2012-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.523670196533203,2012-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,10.209382057189941,2012-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,68.15871620178223,2012-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,73.3604998588562,2012-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,73.77856159210205,2012-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,103.66872835159302,2012-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,69.39978122711182,2013-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,131.6357386112213,2013-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,177.9613676071167,2013-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,88.63444232940674,2013-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,41.24451732635498,2013-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7.352338790893555,2013-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.597982406616211,2013-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,10.133893966674805,2013-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,51.66844367980957,2013-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,68.41369676589966,2013-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,73.6739296913147,2013-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,77.17842781543732,2013-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,80.81957387924194,2014-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,137.46507143974304,2014-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,211.85549020767212,2014-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,60.48475217819214,2014-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,41.332847118377686,2014-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,5.153040409088135,2014-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,5.6574866771698,2014-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,10.039227485656738,2014-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,49.11689758300781,2014-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,63.162861824035645,2014-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,71.77241516113281,2014-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,77.56524634361267,2014-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,79.78629493713379,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,143.70581007003784,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,153.13524103164673,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,53.64460563659668,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,64.74084281921387,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,5.153040647506714,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,5.657486915588379,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,10.531938076019287,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,43.05642032623291,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,54.50399827957153,2015-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,53.98329973220825,2015-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,67.84608483314514,2015-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,55.02358150482178,2016-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,117.5673680305481,2016-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,172.15330576896667,2016-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,53.53460693359375,2016-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,37.02275276184082,2016-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,6.874061107635498,2016-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,5.6574866771698,2016-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,11.226059436798096,2016-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,54.51496505737305,2016-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,52.78912401199341,2016-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,37.84556293487549,2016-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,93.46730601787567,2016-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,93.79485034942627,2017-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,185.0003080368042,2017-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,275.0084171295166,2017-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,71.78636455535889,2017-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,40.384613037109375,2017-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,5.153040409088135,2017-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,5.560772657394409,2017-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,9.826816320419312,2017-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,46.29385757446289,2017-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,67.61706686019897,2017-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,75.86094450950623,2017-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,124.55180716514587,2017-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,157.9956066608429,2018-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,158.76383543014526,2018-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,190.52124953269958,2018-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,82.05245685577393,2018-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,44.38979625701904,2018-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,5.153040647506714,2018-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
