system:index,CHIRPS,date,.geo
0,82.79223570456871,2012-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,135.67285010447867,2012-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,149.6482016214958,2012-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,100.47460187398471,2012-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,33.74320752804096,2012-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.8671788298166716,2012-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.7710047593483558,2012-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7.976337322821983,2012-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,56.8157799243927,2012-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,65.47584606133975,2012-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,72.93942670638744,2012-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,93.42041917947623,2012-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,61.17973173581637,2013-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,115.20423211959692,2013-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,171.8327642587515,2013-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,91.34443217057448,2013-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,39.84119602350088,2013-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.328102914186624,2013-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.8158943744806144,2013-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.824628784106327,2013-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,41.87618648088895,2013-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,67.03137605006879,2013-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,66.33146967796178,2013-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,75.58715702020204,2013-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,73.29617677743619,2014-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,128.64202658946695,2014-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,208.13085588125082,2014-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,69.75804739732008,2014-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,36.75608119597801,2014-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1.7418440717917223,2014-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1.8232866250551663,2014-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,8.000225635675283,2014-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,38.00486993789673,2014-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,58.606354016524094,2014-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,69.57925606232423,2014-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,74.44949543476105,2014-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,68.36530871574695,2015-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,126.32963730738712,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,144.8176947923807,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,60.19946633852446,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,57.31781181922326,2015-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,1.7418440305269682,2015-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,1.8232867075846746,2015-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,8.238685387831469,2015-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,36.889709197557885,2015-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,48.8992458306826,2015-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,52.387668673808754,2015-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,67.035584963285,2015-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,47.13908234009376,2016-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,109.27993428707121,2016-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,158.03773166583136,2016-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,56.35574014370258,2016-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,32.37296007229732,2016-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,4.837580864246075,2016-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,1.8232869551731992,2016-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,8.690232231066776,2016-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,45.37671243227445,2016-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,50.09283727865953,2016-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,36.996248978834885,2016-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,85.56381330123315,2016-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,83.39461262409503,2017-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,161.13440137643082,2017-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,257.50627598395715,2017-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,72.44353228348952,2017-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,36.685881247887245,2017-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,1.789593953352708,2017-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,1.8085061678519616,2017-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,7.779973158469568,2017-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,38.31979703903198,2017-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,64.1273930989779,2017-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,64.12979729358966,2017-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,112.43240921313945,2017-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,149.75901909974905,2018-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,138.32691232974713,2018-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,179.87787378751315,2018-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,84.79168220666739,2018-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,37.96255955329308,2018-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,1.7418441130564764,2018-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,1.823286913908445,2018-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7.6922647677935085,2018-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,36.51693916320801,2018-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,80.31555099212206,2018-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,73.04845014902261,2018-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,177.6575709489676,2018-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,83.55507962520305,2019-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,130.1906744150015,2019-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
