system:index,CHIRPS_MATOC,date,.geo,fecha_mensual,mes,Factor_correccion,CHIRPS_MATOC_CORR
0,82.79223570456871,2012-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-01-01,1,1.4594143508430073,120.82817692562439
1,135.67285010447867,2012-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-02-01,2,1.1729096681517877,159.1319975932513
2,149.6482016214958,2012-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-03-01,3,1.0176523505820951,152.28984414049847
3,100.47460187398472,2012-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-04-01,4,1.4159446733735415,142.26647733279592
4,33.74320752804096,2012-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-05-01,5,1.5219398888725382,51.35513351542966
5,1.867178829816672,2012-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-06-01,6,1.7515368991023574,3.2704326176466623
6,1.7710047593483558,2012-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-07-01,7,1.7446835045501838,3.089842790114944
7,7.976337322821983,2012-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-08-01,8,1.1623543434326868,9.271330331866382
8,56.8157799243927,2012-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-09-01,9,0.9070016507451076,51.53200617979493
9,65.47584606133975,2012-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-10-01,10,1.3044451451374333,85.40964951848056
10,72.93942670638744,2012-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-11-01,11,1.4967678322639064,109.1733875978916
11,93.42041917947624,2012-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2012-12-01,12,1.6946525708826246,158.31515353543185
12,61.17973173581637,2013-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-01-01,1,1.4594143508430073,89.28657847597577
13,115.20423211959692,2013-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-02-01,2,1.1729096681517877,135.12415766507795
14,171.8327642587515,2013-03,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-03-01,3,1.0176523505820951,174.8660164549375
15,91.34443217057448,2013-04,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-04-01,4,1.4159446733735415,129.3386621742557
16,39.84119602350088,2013-05,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-05-01,5,1.5219398888725382,60.63590544855594
17,2.328102914186624,2013-06,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-06-01,6,1.7515368991023574,4.077758159105601
18,1.8158943744806144,2013-07,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-07-01,7,1.7446835045501838,3.1681609611618025
19,7.824628784106327,2013-08,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-08-01,8,1.1623543434326868,9.094991252954413
20,41.87618648088895,2013-09,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-09-01,9,0.9070016507451076,37.981770265076236
21,67.03137605006879,2013-10,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-10-01,10,1.3044451451374333,87.43875306039385
22,66.33146967796178,2013-11,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-11-01,11,1.4967678322639064,99.28281008076189
23,75.58715702020204,2013-12,"{""type"":""MultiPoint"",""coordinates"":[]}",2013-12-01,12,1.6946525708826246,128.09396996999402
24,73.29617677743619,2014-01,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-01-01,1,1.4594143508430073,106.96949225091635
25,128.64202658946695,2014-02,"{""type"":""MultiPoint"",""coordinates"":[]}",2014-02-01,2,1.1729096681517877,150.88547671742512
