fecha,precipitacion_mm,QC_Fisico,QC_IQR,QC_Ceros,QC_Temporal,QC_ENSO,Decision,UH,Estacion
2012-01-01,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-02,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-03,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-04,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-05,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-06,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-07,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-08,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-09,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-10,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-11,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-12,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-13,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-14,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-15,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-16,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-17,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-18,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-19,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-20,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-21,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-22,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-23,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-24,,False,False,True,False,True,Completar,ANA,ANA 1
2012-01-25,5.800000086426728,True,True,True,False,True,Revisar,ANA,ANA 1
2012-01-26,6.000000089406961,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-01-27,4.000000059604639,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-01-28,17.00000025331973,True,False,True,True,True,Revisar,ANA,ANA 1
2012-01-29,13.800000205636016,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-01-30,18.600000277161588,True,False,True,True,True,Revisar,ANA,ANA 1
2012-01-31,7.800000116229047,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-01,2.600000038743015,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-02,9.600000143051139,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-03,9.80000014603137,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-04,9.600000143051137,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-05,4.800000071525567,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-06,5.800000086426727,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-07,29.200000435113896,True,False,True,False,True,Revisar,ANA,ANA 1
2012-02-08,14.200000211596482,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-09,9.000000134110444,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-10,12.800000190734853,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-11,10.000000149011603,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-12,1.0000000149011599,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-13,2.800000041723247,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-14,0.0,True,True,False,True,True,Revisar,ANA,ANA 1
2012-02-15,5.400000080466263,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-16,2.200000032782552,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-17,0.0,True,True,False,True,True,Revisar,ANA,ANA 1
2012-02-18,1.800000026822088,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-19,26.400000393390645,True,False,True,False,True,Revisar,ANA,ANA 1
2012-02-20,13.800000205636016,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-21,1.2000000178813919,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-22,7.400000110268584,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-23,21.000000312924374,True,False,True,True,True,Revisar,ANA,ANA 1
2012-02-24,5.800000086426728,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-25,6.00000008940696,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-26,20.000000298023213,True,False,True,True,True,Revisar,ANA,ANA 1
2012-02-27,12.000000178813925,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-28,10.600000157952298,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-02-29,8.200000122189513,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-01,6.400000095367424,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-02,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-03,0.800000011920928,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-04,2.600000038743015,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-05,14.00000020861625,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-06,7.400000110268584,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-07,28.400000423192967,True,False,True,False,True,Revisar,ANA,ANA 1
2012-03-08,8.400000125169745,True,True,True,False,True,Revisar,ANA,ANA 1
2012-03-09,10.000000149011605,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-10,0.200000002980232,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-11,2.800000041723247,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-12,7.2000001072883535,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-13,2.2000000327825515,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-14,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-15,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-16,5.0000000745058,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-17,7.600000113248816,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-18,1.0000000149011599,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-19,2.6000000387430156,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-20,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-21,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-22,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-23,0.0,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-24,0.800000011920928,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-25,10.000000149011601,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-26,13.800000205636016,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-27,4.200000062584871,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-28,25.400000378489484,True,False,True,False,True,Revisar,ANA,ANA 1
2012-03-29,0.6000000089406959,True,True,True,False,True,Revisar,ANA,ANA 1
2012-03-30,0.6000000089406959,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-03-31,2.2000000327825515,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-01,8.000000119209282,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-02,12.600000187754622,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-03,4.600000068545334,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-04,5.0000000745058,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-05,18.60000027716159,True,False,True,True,True,Revisar,ANA,ANA 1
2012-04-06,9.60000014305114,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-07,6.80000010132789,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-08,6.000000089406958,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-09,22.000000327825536,True,False,True,True,True,Revisar,ANA,ANA 1
2012-04-10,11.600000172853461,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-11,6.000000089406959,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-12,7.200000107288351,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-13,0.6000000089406959,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-14,31.20000046491622,True,False,True,False,True,Revisar,ANA,ANA 1
2012-04-15,27.000000402331345,True,False,True,True,True,Revisar,ANA,ANA 1
2012-04-16,8.80000013113021,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-17,4.8000000715255675,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-18,13.200000196695319,True,True,True,True,True,Aceptado,ANA,ANA 1
2012-04-19,1.800000026822088,True,True,True,True,True,Aceptado,ANA,ANA 1
