fecha,precipitacion_mm,QC_Fisico,QC_IQR,QC_Ceros,QC_Temporal,QC_ENSO,Decision,UH,Estacion
2012-01-01,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-02,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-03,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-04,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-05,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-06,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-07,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-08,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-09,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-10,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-11,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-12,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-13,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-14,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-15,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-16,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-17,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-18,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-19,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-20,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-21,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-22,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-23,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-24,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-25,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-26,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-27,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-28,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-29,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-30,,False,False,True,False,True,Completar,ANA,ANA 2
2012-01-31,,False,False,True,False,True,Completar,ANA,ANA 2
2012-02-01,6.4,True,True,True,False,True,Revisar,ANA,ANA 2
2012-02-02,9.6,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-03,23.2,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-04,14.2,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-05,9.0,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-06,28.2,True,False,True,True,True,Revisar,ANA,ANA 2
2012-02-07,36.6,True,False,True,True,True,Revisar,ANA,ANA 2
2012-02-08,14.2,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-09,17.40000026,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-10,7.800000116,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-11,11.20000017,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-12,0.400000006,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-13,0.400000006,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-14,0.0,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-15,0.0,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-16,0.0,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-17,0.600000009,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-18,1.400000021,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-19,14.40000021,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-20,21.20000032,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-21,9.200000137,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-22,5.200000077,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-23,11.80000018,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-24,7.800000116,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-25,7.40000011,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-26,16.00000024,True,True,True,True,True,Aceptado,ANA,ANA 2
2012-02-27,12.00000018,True,True,True,True,True,Aceptado,ANA,ANA 2
