anio,mes,Q_m3s,fecha,Q_norm
2012,1,,2012-01-01,
2012,2,,2012-02-01,
2012,3,,2012-03-01,
2012,4,,2012-04-01,
2012,5,,2012-05-01,
2012,6,,2012-06-01,
2012,7,,2012-07-01,
2012,8,,2012-08-01,
2012,9,,2012-09-01,
2012,10,,2012-10-01,
2012,11,,2012-11-01,
2012,12,,2012-12-01,
2013,1,,2013-01-01,
2013,2,,2013-02-01,
2013,3,,2013-03-01,
2013,4,,2013-04-01,
2013,5,,2013-05-01,
2013,6,,2013-06-01,
2013,7,0.02275,2013-07-01,0.22603329138721254
2013,8,0.03135483870967742,2013-08-01,0.311526918437959
2013,9,0.04086666666666667,2013-09-01,0.4060319637226705
2013,10,0.06848387096774194,2013-10-01,0.6804235060121266
2013,11,0.09106666666666666,2013-11-01,0.9047955341682997
2013,12,0.09903225806451613,2013-12-01,0.98393790082771
2014,1,0.1052258064516129,2014-01-01,1.045474082247554
2014,2,0.11517857142857144,2014-02-01,1.144360070209985
2014,3,0.11712903225806452,2014-03-01,1.163738930913816
2014,4,0.08193333333333334,2014-04-01,0.8140510333036901
2014,5,0.06267741935483871,2014-05-01,0.622733335931023
2014,6,0.036366666666666665,2014-06-01,0.3613220819098152
2014,7,0.03058064516129032,2014-07-01,0.3038348957604785
2014,8,0.02970967741935484,2014-08-01,0.29518137024831304
2014,9,0.05703333333333334,2014-09-01,0.5666563539392244
2014,10,0.07638709677419354,2014-10-01,0.7589462375114062
2014,11,0.10583333333333332,2014-11-01,1.0515101833764098
2014,12,0.12087096774193548,2014-12-01,1.2009170405216383
2015,1,0.12287096774193547,2015-01-01,1.2207880991051294
2015,2,0.11910714285714286,2015-02-01,1.1833925067132713
2015,3,0.12893548387096773,2015-03-01,1.281042276745393
2015,4,0.09243333333333334,2015-04-01,0.9183740908670189
2015,5,0.0800967741935484,2015-05-01,0.7958038461743336
2015,6,0.041133333333333334,2015-06-01,0.40868143820046926
2015,7,0.035225806451612905,2015-07-01,0.34998703182536134
2015,8,0.03925806451612904,2015-08-01,0.39004964993723884
2015,9,0.04816666666666667,2015-09-01,0.4785613275524134
2015,10,0.07551612903225807,2015-10-01,0.7502927119992409
2015,11,0.10569999999999999,2015-11-01,1.0501854461375104
2015,12,0.1249032258064516,2015-12-01,1.2409796586335156
2016,1,0.14177419354838708,2016-01-01,1.4086016528136107
2016,2,0.1483793103448276,2016-02-01,1.4742269842200464
2016,3,0.1311290322580645,2016-03-01,1.3028363409982542
2016,4,0.09519999999999999,2016-04-01,0.9458623885741816
2016,5,0.05551612903225807,2016-05-01,0.5515821261643287
2016,6,0.033800000000000004,2016-06-01,0.3358208900610015
2016,7,0.028064516129032258,2016-07-01,0.278835822058667
2016,8,0.03793548387096774,2016-08-01,0.37690911119654297
2016,9,0.05346666666666667,2016-09-01,0.5312196327986651
2016,10,0.0733225806451613,2016-10-01,0.7284986477463795
2016,11,0.09503333333333333,2016-11-01,0.9442064670255574
2016,12,0.10948387096774194,2016-12-01,1.0877802069736964
2017,1,0.1309032258064516,2017-01-01,1.3005928343839894
2017,2,0.12860714285714286,2017-02-01,1.2777800349848547
2017,3,0.1597741935483871,2017-03-01,1.5874411800650319
2017,4,0.11286666666666667,2017-04-01,1.1213900727283541
2017,5,0.08996774193548387,2017-05-01,0.8938771353122096
2017,6,0.049433333333333336,2017-06-01,0.49114633132195784
2017,7,0.042709677419354844,2017-07-01,0.42434325104100595
2017,8,0.051806451612903225,2017-08-01,0.5147245175014014
2017,9,0.07196666666666666,2017-09-01,0.7150269246959587
2017,10,0.10093548387096775,2017-10-01,1.0028474565765162
2017,11,0.0991,2017-11-01,0.9846109528119895
2017,12,0.12783870967741937,2017-12-01,1.2701452446189625
2018,1,0.1443548387096774,2018-01-01,1.4342417284052125
2018,2,0.14585714285714285,2018-02-01,1.4491679152674661
2018,3,0.16858064516129032,2018-03-01,1.674937938021372
2018,4,0.12946666666666667,2018-04-01,1.2863198589713312
2018,5,0.0952258064516129,2018-05-01,0.9461187893300976
2018,6,0.0693,2018-06-01,0.6885321799179706
2018,7,0.05806451612903226,2018-07-01,0.5769017008110352
2018,8,0.06092857142857143,2018-08-01,0.6053576061327859
2018,9,,2018-09-01,
2018,10,,2018-10-01,
2018,11,,2018-11-01,
2018,12,,2018-12-01,
2019,1,0.21469230769230768,2019-01-01,2.1330817117893837
2019,2,0.22207142857142856,2019-02-01,2.2063971834312204
2019,3,0.2013548387096774,2019-03-01,2.000566898034712
2019,4,0.1538,2019-04-01,1.528084405070474
2019,5,0.12858064516129034,2019-05-01,1.277516766351548
2019,6,0.078,2019-06-01,0.7749712847561573
2019,7,0.06754838709677419,2019-07-01,0.6711289786101708
2019,8,0.07138709677419355,2019-08-01,0.7092685910526784
2019,9,0.1085,2019-09-01,1.0780049281543982
2019,10,0.1362258064516129,2019-10-01,1.3534754902916675
2019,11,0.17596666666666666,2019-11-01,1.7483219710375018
2019,12,0.2239032258064516,2019-12-01,2.2245970585163306
2020,1,0.20529032258064517,2020-01-01,2.0396680133119043
2020,2,0.22410344827586207,2020-02-01,2.2265863747260237
2020,3,0.2123225806451613,2020-03-01,2.109537219299019
2020,4,0.14930000000000002,2020-04-01,1.4833745232576192
2020,5,0.15970967741935485,2020-05-01,1.5868001781752419
2020,6,0.0905,2020-06-01,0.8991654009029774
2020,7,0.07758064516129032,2020-07-01,0.770804772472522
