fecha,P_mm,PET_mm,Q_mm,anio,mes,usar_calibracion,usar_validacion,P_lag,Q_sim
2017-03-01,248.76,44.400520732129486,81.18,2017,3,False,True,248.76,138.40379364551734
2017-04-01,126.43,54.91540036604433,41.33,2017,4,False,True,126.43,73.00567704266497
2017-05-01,101.68,47.76374460642847,34.07,2017,5,False,True,101.68,61.942234925758704
2017-09-01,64.8,53.54295433489497,1.36,2017,9,False,True,64.8,16.182608776176913
2017-10-01,83.27,65.48069377240762,2.03,2017,10,False,True,83.27,18.43417853642814
2017-11-01,59.86,39.24147263580835,1.29,2017,11,False,True,59.86,19.520614343061514
2017-12-01,157.97,46.94355631510552,28.07,2017,12,False,True,157.97,58.239434393154255
2018-01-01,163.81,36.74005405836056,44.34,2018,1,False,True,163.81,75.5003986044999
2018-02-01,104.87,36.3049634349422,20.76,2018,2,False,True,104.87,54.48298310281145
2018-03-01,233.2,48.51463003505612,55.03,2018,3,False,True,233.2,122.97610903931287
2018-04-01,106.7,52.52322350254979,33.3,2018,4,False,True,106.7,59.39496271034761
2018-05-01,63.8,47.57701970634884,8.21,2018,5,False,True,63.8,36.529846491831115
2018-06-01,4.27,59.96659582790123,1.48,2018,6,False,True,4.27,19.757037063557835
2018-07-01,5.6,62.491132919581744,0.37,2018,7,False,True,5.6,13.971374202238739
2018-08-01,6.47,57.42938513509811,0.13,2018,8,False,True,6.47,10.312197913884381
2018-09-01,16.4,50.00252454077804,0.04,2018,9,False,True,16.4,8.32501311319485
2018-10-01,115.8,63.31796900819487,2.18,2018,10,False,True,115.8,25.82154615317505
2018-11-01,182.19,42.34939074050439,19.93,2018,11,False,True,182.19,64.40357705898946
