fecha,P_mm,PET_mm,Q_mm,anio,mes,usar_calibracion,usar_validacion,P_lag,Q_sim
2017-03-01,298.81,42.56968499371581,101.15,2017,3,False,True,298.81,195.53433987080936
2017-04-01,149.26,51.22836330371068,52.97,2017,4,False,True,149.26,104.98567906879548
2017-05-01,119.01,45.74786560841916,51.18,2017,5,False,True,119.01,86.39928052229718
2017-09-01,68.52,50.01227814711163,3.41,2017,9,False,True,68.52,23.034926794948884
2017-10-01,103.45,59.693349861191386,7.59,2017,10,False,True,103.45,33.92255454613237
2017-11-01,67.88,39.27074928870848,6.99,2017,11,False,True,67.88,28.1195143232644
2017-12-01,187.82,45.15140247952545,51.18,2017,12,False,True,187.82,83.91954109513635
2018-01-01,194.96,36.63189894048704,62.28,2018,1,False,True,194.96,106.09446507467311
2018-02-01,155.8,36.22351081113348,43.47,2018,2,False,True,155.8,95.70709880162131
2018-03-01,303.5,46.7093846871221,75.06,2018,3,False,True,303.5,192.40144668798425
2018-04-01,110.2,48.9007174604591,44.73,2018,4,False,True,110.2,78.62143779645137
2018-05-01,61.4,45.56644876397688,13.17,2018,5,False,True,61.4,45.692618846166845
2018-06-01,12.9,53.75416311748847,3.11,2018,6,False,True,12.9,26.673128112732712
2018-07-01,9.4,55.93587964986885,1.67,2018,7,False,True,9.4,19.371789498941688
2018-08-01,5.6,52.63489548469434,1.27,2018,8,False,True,5.6,14.30418421624517
2018-09-01,28.0,46.532815463089065,0.61,2018,9,False,True,28.0,12.194457186158932
2018-10-01,136.26,57.631162804858505,3.99,2018,10,False,True,136.26,43.722954411125635
