year_month,Q_m3s,dias_validos,dias_mes,fecha,cobertura,calidad_mes,Q_Ls_km2,Q_mm_mes
2012-01,,0,31,2012-01-01,0.0,BAJA,,
2012-02,,0,29,2012-02-01,0.0,BAJA,,
2012-03,,0,31,2012-03-01,0.0,BAJA,,
2012-04,,0,30,2012-04-01,0.0,BAJA,,
2012-05,,0,31,2012-05-01,0.0,BAJA,,
2012-06,,0,30,2012-06-01,0.0,BAJA,,
2012-07,,0,31,2012-07-01,0.0,BAJA,,
2012-08,,0,31,2012-08-01,0.0,BAJA,,
2012-09,,15,30,2012-09-01,0.5,BAJA,,
2012-10,0.004,31,31,2012-10-01,1.0,ACEPTABLE,1.32,3.55
2012-11,0.036,30,30,2012-11-01,1.0,ACEPTABLE,13.41,34.76
2012-12,0.055,31,31,2012-12-01,1.0,ACEPTABLE,20.31,54.41
2013-01,0.041,31,31,2013-01-01,1.0,ACEPTABLE,15.23,40.8
2013-02,0.068,28,28,2013-02-01,1.0,ACEPTABLE,25.0,60.49
2013-03,0.113,31,31,2013-03-01,1.0,ACEPTABLE,41.82,112.01
2013-04,0.076,30,30,2013-04-01,1.0,ACEPTABLE,27.94,72.41
2013-05,,21,31,2013-05-01,0.6774193548387096,BAJA,,
2013-06,0.005,24,30,2013-06-01,0.8,ACEPTABLE,1.92,4.98
2013-07,0.004,31,31,2013-07-01,1.0,ACEPTABLE,1.53,4.11
2013-08,0.003,31,31,2013-08-01,1.0,ACEPTABLE,0.99,2.66
2013-09,0.004,30,30,2013-09-01,1.0,ACEPTABLE,1.44,3.74
2013-10,0.009,31,31,2013-10-01,1.0,ACEPTABLE,3.15,8.44
2013-11,0.026,30,30,2013-11-01,1.0,ACEPTABLE,9.49,24.6
2013-12,0.062,31,31,2013-12-01,1.0,ACEPTABLE,22.91,61.36
2014-01,0.06,31,31,2014-01-01,1.0,ACEPTABLE,22.07,59.11
2014-02,0.092,28,28,2014-02-01,1.0,ACEPTABLE,33.91,82.02
2014-03,0.11,31,31,2014-03-01,1.0,ACEPTABLE,40.77,109.21
2014-04,0.05,25,30,2014-04-01,0.8333333333333334,ACEPTABLE,18.63,48.28
2014-05,,0,31,2014-05-01,0.0,BAJA,,
2014-06,,11,30,2014-06-01,0.36666666666666664,BAJA,,
2014-07,0.007,31,31,2014-07-01,1.0,ACEPTABLE,2.71,7.27
2014-08,0.004,31,31,2014-08-01,1.0,ACEPTABLE,1.59,4.27
2014-09,0.006,30,30,2014-09-01,1.0,ACEPTABLE,2.39,6.19
2014-10,0.008,31,31,2014-10-01,1.0,ACEPTABLE,2.83,7.57
2014-11,0.027,27,30,2014-11-01,0.9,ACEPTABLE,10.1,26.17
2014-12,,0,31,2014-12-01,0.0,BAJA,,
2015-01,,0,31,2015-01-01,0.0,BAJA,,
2015-02,,11,28,2015-02-01,0.39285714285714285,BAJA,,
2015-03,0.092,31,31,2015-03-01,1.0,ACEPTABLE,34.01,91.08
2015-04,0.059,30,30,2015-04-01,1.0,ACEPTABLE,21.77,56.43
