year_month,Q_m3s,dias_validos,dias_mes,fecha,cobertura,calidad_mes,Q_Ls_km2,Q_mm_mes
2012-01,,0,31,2012-01-01,0.0,BAJA,,
2012-02,,0,29,2012-02-01,0.0,BAJA,,
2012-03,,0,31,2012-03-01,0.0,BAJA,,
2012-04,,0,30,2012-04-01,0.0,BAJA,,
2012-05,,0,31,2012-05-01,0.0,BAJA,,
2012-06,,0,30,2012-06-01,0.0,BAJA,,
2012-07,,0,31,2012-07-01,0.0,BAJA,,
2012-08,,0,31,2012-08-01,0.0,BAJA,,
2012-09,,0,30,2012-09-01,0.0,BAJA,,
2012-10,,8,31,2012-10-01,0.25806451612903225,BAJA,,
2012-11,0.081,30,30,2012-11-01,1.0,ACEPTABLE,19.21,49.79
2012-12,0.118,31,31,2012-12-01,1.0,ACEPTABLE,27.99,74.96
2013-01,0.084,31,31,2013-01-01,1.0,ACEPTABLE,19.9,53.29
2013-02,0.131,28,28,2013-02-01,1.0,ACEPTABLE,30.97,74.91
2013-03,0.197,31,31,2013-03-01,1.0,ACEPTABLE,46.71,125.11
2013-04,0.113,30,30,2013-04-01,1.0,ACEPTABLE,26.79,69.43
2013-05,0.038,31,31,2013-05-01,1.0,ACEPTABLE,9.08,24.32
2013-06,0.016,30,30,2013-06-01,1.0,ACEPTABLE,3.86,9.99
2013-07,0.01,31,31,2013-07-01,1.0,ACEPTABLE,2.26,6.06
2013-08,0.007,31,31,2013-08-01,1.0,ACEPTABLE,1.58,4.23
2013-09,0.006,30,30,2013-09-01,1.0,ACEPTABLE,1.36,3.53
2013-10,0.028,31,31,2013-10-01,1.0,ACEPTABLE,6.66,17.83
2013-11,0.092,30,30,2013-11-01,1.0,ACEPTABLE,21.69,56.21
2013-12,0.129,31,31,2013-12-01,1.0,ACEPTABLE,30.49,81.67
2014-01,0.121,31,31,2014-01-01,1.0,ACEPTABLE,28.64,76.72
2014-02,0.174,28,28,2014-02-01,1.0,ACEPTABLE,41.28,99.86
2014-03,0.174,31,31,2014-03-01,1.0,ACEPTABLE,41.3,110.63
2014-04,0.082,25,30,2014-04-01,0.8333333333333334,ACEPTABLE,19.51,50.58
2014-05,,0,31,2014-05-01,0.0,BAJA,,
2014-06,,11,30,2014-06-01,0.36666666666666664,BAJA,,
2014-07,0.015,31,31,2014-07-01,1.0,ACEPTABLE,3.51,9.39
2014-08,0.009,31,31,2014-08-01,1.0,ACEPTABLE,2.22,5.95
2014-09,0.01,30,30,2014-09-01,1.0,ACEPTABLE,2.26,5.86
2014-10,0.017,31,31,2014-10-01,1.0,ACEPTABLE,3.93,10.51
2014-11,0.08,27,30,2014-11-01,0.9,ACEPTABLE,18.93,49.07
2014-12,,0,31,2014-12-01,0.0,BAJA,,
2015-01,,0,31,2015-01-01,0.0,BAJA,,
2015-02,,11,28,2015-02-01,0.39285714285714285,BAJA,,
2015-03,0.149,31,31,2015-03-01,1.0,ACEPTABLE,35.41,94.83
2015-04,0.101,30,30,2015-04-01,1.0,ACEPTABLE,23.83,61.78
