fecha,Q_m3s,estado_qc
2012-01-01,,COMPLETAR
2012-01-02,,COMPLETAR
2012-01-03,,COMPLETAR
2012-01-04,,COMPLETAR
2012-01-05,,COMPLETAR
2012-01-06,,COMPLETAR
2012-01-07,,COMPLETAR
2012-01-08,,COMPLETAR
2012-01-09,,COMPLETAR
2012-01-10,,COMPLETAR
2012-01-11,,COMPLETAR
2012-01-12,,COMPLETAR
2012-01-13,,COMPLETAR
2012-01-14,,COMPLETAR
2012-01-15,,COMPLETAR
2012-01-16,,COMPLETAR
2012-01-17,,COMPLETAR
2012-01-18,,COMPLETAR
2012-01-19,,COMPLETAR
2012-01-20,,COMPLETAR
2012-01-21,,COMPLETAR
2012-01-22,,COMPLETAR
2012-01-23,,COMPLETAR
2012-01-24,,COMPLETAR
2012-01-25,,COMPLETAR
2012-01-26,,COMPLETAR
2012-01-27,,COMPLETAR
2012-01-28,,COMPLETAR
2012-01-29,,COMPLETAR
2012-01-30,,COMPLETAR
2012-01-31,,COMPLETAR
2012-02-01,,COMPLETAR
2012-02-02,,COMPLETAR
2012-02-03,,COMPLETAR
2012-02-04,,COMPLETAR
2012-02-05,,COMPLETAR
2012-02-06,,COMPLETAR
2012-02-07,,COMPLETAR
2012-02-08,,COMPLETAR
2012-02-09,,COMPLETAR
2012-02-10,,COMPLETAR
2012-02-11,,COMPLETAR
2012-02-12,,COMPLETAR
2012-02-13,,COMPLETAR
2012-02-14,,COMPLETAR
2012-02-15,,COMPLETAR
2012-02-16,,COMPLETAR
2012-02-17,,COMPLETAR
2012-02-18,,COMPLETAR
2012-02-19,,COMPLETAR
2012-02-20,,COMPLETAR
2012-02-21,,COMPLETAR
2012-02-22,,COMPLETAR
2012-02-23,,COMPLETAR
2012-02-24,,COMPLETAR
2012-02-25,,COMPLETAR
2012-02-26,,COMPLETAR
2012-02-27,,COMPLETAR
2012-02-28,,COMPLETAR
2012-02-29,,COMPLETAR
2012-03-01,,COMPLETAR
2012-03-02,,COMPLETAR
2012-03-03,,COMPLETAR
2012-03-04,,COMPLETAR
2012-03-05,,COMPLETAR
2012-03-06,,COMPLETAR
2012-03-07,,COMPLETAR
2012-03-08,,COMPLETAR
2012-03-09,,COMPLETAR
2012-03-10,,COMPLETAR
2012-03-11,,COMPLETAR
2012-03-12,,COMPLETAR
2012-03-13,,COMPLETAR
2012-03-14,,COMPLETAR
2012-03-15,,COMPLETAR
2012-03-16,,COMPLETAR
2012-03-17,,COMPLETAR
2012-03-18,,COMPLETAR
2012-03-19,,COMPLETAR
2012-03-20,,COMPLETAR
2012-03-21,,COMPLETAR
2012-03-22,,COMPLETAR
2012-03-23,,COMPLETAR
2012-03-24,,COMPLETAR
2012-03-25,,COMPLETAR
2012-03-26,,COMPLETAR
2012-03-27,,COMPLETAR
2012-03-28,,COMPLETAR
2012-03-29,,COMPLETAR
2012-03-30,,COMPLETAR
2012-03-31,,COMPLETAR
2012-04-01,,COMPLETAR
2012-04-02,,COMPLETAR
2012-04-03,,COMPLETAR
2012-04-04,,COMPLETAR
2012-04-05,,COMPLETAR
2012-04-06,,COMPLETAR
2012-04-07,,COMPLETAR
2012-04-08,,COMPLETAR
2012-04-09,,COMPLETAR
2012-04-10,,COMPLETAR
2012-04-11,,COMPLETAR
2012-04-12,,COMPLETAR
2012-04-13,,COMPLETAR
2012-04-14,,COMPLETAR
2012-04-15,,COMPLETAR
2012-04-16,,COMPLETAR
2012-04-17,,COMPLETAR
2012-04-18,,COMPLETAR
2012-04-19,,COMPLETAR
2012-04-20,,COMPLETAR
2012-04-21,,COMPLETAR
2012-04-22,,COMPLETAR
2012-04-23,,COMPLETAR
2012-04-24,,COMPLETAR
2012-04-25,,COMPLETAR
2012-04-26,,COMPLETAR
2012-04-27,,COMPLETAR
2012-04-28,,COMPLETAR
2012-04-29,,COMPLETAR
2012-04-30,,COMPLETAR
2012-05-01,,COMPLETAR
2012-05-02,,COMPLETAR
2012-05-03,,COMPLETAR
2012-05-04,,COMPLETAR
2012-05-05,,COMPLETAR
2012-05-06,,COMPLETAR
2012-05-07,,COMPLETAR
2012-05-08,,COMPLETAR
2012-05-09,,COMPLETAR
2012-05-10,,COMPLETAR
2012-05-11,,COMPLETAR
2012-05-12,,COMPLETAR
2012-05-13,,COMPLETAR
2012-05-14,,COMPLETAR
2012-05-15,,COMPLETAR
2012-05-16,,COMPLETAR
2012-05-17,,COMPLETAR
2012-05-18,,COMPLETAR
2012-05-19,,COMPLETAR
2012-05-20,,COMPLETAR
2012-05-21,,COMPLETAR
2012-05-22,,COMPLETAR
2012-05-23,,COMPLETAR
2012-05-24,,COMPLETAR
2012-05-25,,COMPLETAR
2012-05-26,,COMPLETAR
2012-05-27,,COMPLETAR
2012-05-28,,COMPLETAR
2012-05-29,,COMPLETAR
2012-05-30,,COMPLETAR
2012-05-31,,COMPLETAR
2012-06-01,,COMPLETAR
2012-06-02,,COMPLETAR
2012-06-03,,COMPLETAR
2012-06-04,,COMPLETAR
2012-06-05,,COMPLETAR
2012-06-06,,COMPLETAR
2012-06-07,,COMPLETAR
2012-06-08,,COMPLETAR
2012-06-09,,COMPLETAR
2012-06-10,,COMPLETAR
2012-06-11,,COMPLETAR
2012-06-12,,COMPLETAR
2012-06-13,,COMPLETAR
2012-06-14,,COMPLETAR
2012-06-15,,COMPLETAR
2012-06-16,,COMPLETAR
2012-06-17,,COMPLETAR
2012-06-18,,COMPLETAR
2012-06-19,,COMPLETAR
2012-06-20,,COMPLETAR
2012-06-21,,COMPLETAR
2012-06-22,,COMPLETAR
2012-06-23,,COMPLETAR
2012-06-24,,COMPLETAR
2012-06-25,,COMPLETAR
2012-06-26,,COMPLETAR
2012-06-27,,COMPLETAR
2012-06-28,,COMPLETAR
2012-06-29,,COMPLETAR
2012-06-30,,COMPLETAR
2012-07-01,,COMPLETAR
2012-07-02,,COMPLETAR
2012-07-03,,COMPLETAR
2012-07-04,,COMPLETAR
2012-07-05,,COMPLETAR
2012-07-06,,COMPLETAR
2012-07-07,,COMPLETAR
2012-07-08,,COMPLETAR
2012-07-09,,COMPLETAR
2012-07-10,,COMPLETAR
2012-07-11,,COMPLETAR
2012-07-12,,COMPLETAR
2012-07-13,,COMPLETAR
2012-07-14,,COMPLETAR
2012-07-15,,COMPLETAR
2012-07-16,,COMPLETAR
2012-07-17,,COMPLETAR
2012-07-18,,COMPLETAR
2012-07-19,,COMPLETAR
2012-07-20,,COMPLETAR
2012-07-21,,COMPLETAR
2012-07-22,,COMPLETAR
2012-07-23,,COMPLETAR
2012-07-24,,COMPLETAR
2012-07-25,,COMPLETAR
2012-07-26,,COMPLETAR
2012-07-27,,COMPLETAR
2012-07-28,,COMPLETAR
2012-07-29,,COMPLETAR
2012-07-30,,COMPLETAR
2012-07-31,,COMPLETAR
2012-08-01,,COMPLETAR
2012-08-02,,COMPLETAR
2012-08-03,,COMPLETAR
2012-08-04,,COMPLETAR
2012-08-05,,COMPLETAR
2012-08-06,,COMPLETAR
2012-08-07,,COMPLETAR
2012-08-08,,COMPLETAR
2012-08-09,,COMPLETAR
2012-08-10,,COMPLETAR
2012-08-11,,COMPLETAR
2012-08-12,,COMPLETAR
2012-08-13,,COMPLETAR
2012-08-14,,COMPLETAR
2012-08-15,,COMPLETAR
2012-08-16,,COMPLETAR
2012-08-17,,COMPLETAR
2012-08-18,,COMPLETAR
2012-08-19,,COMPLETAR
2012-08-20,,COMPLETAR
2012-08-21,,COMPLETAR
2012-08-22,,COMPLETAR
2012-08-23,,COMPLETAR
2012-08-24,,COMPLETAR
2012-08-25,,COMPLETAR
2012-08-26,,COMPLETAR
2012-08-27,,COMPLETAR
2012-08-28,,COMPLETAR
2012-08-29,,COMPLETAR
2012-08-30,,COMPLETAR
2012-08-31,,COMPLETAR
2012-09-01,,COMPLETAR
2012-09-02,,COMPLETAR
2012-09-03,,COMPLETAR
2012-09-04,,COMPLETAR
2012-09-05,,COMPLETAR
2012-09-06,,COMPLETAR
2012-09-07,,COMPLETAR
2012-09-08,,COMPLETAR
2012-09-09,,COMPLETAR
2012-09-10,,COMPLETAR
2012-09-11,,COMPLETAR
2012-09-12,,COMPLETAR
2012-09-13,,COMPLETAR
2012-09-14,,COMPLETAR
2012-09-15,,COMPLETAR
2012-09-16,,COMPLETAR
2012-09-17,,COMPLETAR
2012-09-18,,COMPLETAR
2012-09-19,,COMPLETAR
2012-09-20,,COMPLETAR
2012-09-21,,COMPLETAR
2012-09-22,,COMPLETAR
2012-09-23,,COMPLETAR
2012-09-24,,COMPLETAR
2012-09-25,,COMPLETAR
2012-09-26,,COMPLETAR
2012-09-27,,COMPLETAR
2012-09-28,,COMPLETAR
2012-09-29,,COMPLETAR
2012-09-30,,COMPLETAR
2012-10-01,,COMPLETAR
2012-10-02,,COMPLETAR
2012-10-03,,COMPLETAR
2012-10-04,,COMPLETAR
2012-10-05,,COMPLETAR
2012-10-06,,COMPLETAR
2012-10-07,,COMPLETAR
2012-10-08,,COMPLETAR
2012-10-09,,COMPLETAR
2012-10-10,,COMPLETAR
2012-10-11,,COMPLETAR
2012-10-12,,COMPLETAR
2012-10-13,,COMPLETAR
2012-10-14,,COMPLETAR
2012-10-15,,COMPLETAR
2012-10-16,,COMPLETAR
2012-10-17,,COMPLETAR
2012-10-18,,COMPLETAR
2012-10-19,,COMPLETAR
2012-10-20,,COMPLETAR
2012-10-21,,COMPLETAR
2012-10-22,,COMPLETAR
2012-10-23,,COMPLETAR
2012-10-24,,COMPLETAR
2012-10-25,,COMPLETAR
2012-10-26,,COMPLETAR
2012-10-27,,COMPLETAR
2012-10-28,,COMPLETAR
2012-10-29,,COMPLETAR
2012-10-30,,COMPLETAR
2012-10-31,,COMPLETAR
2012-11-01,,COMPLETAR
2012-11-02,,COMPLETAR
2012-11-03,,COMPLETAR
2012-11-04,,COMPLETAR
2012-11-05,,COMPLETAR
2012-11-06,,COMPLETAR
2012-11-07,,COMPLETAR
2012-11-08,,COMPLETAR
2012-11-09,,COMPLETAR
2012-11-10,,COMPLETAR
2012-11-11,,COMPLETAR
2012-11-12,,COMPLETAR
2012-11-13,,COMPLETAR
2012-11-14,,COMPLETAR
2012-11-15,,COMPLETAR
2012-11-16,,COMPLETAR
2012-11-17,,COMPLETAR
2012-11-18,,COMPLETAR
2012-11-19,,COMPLETAR
2012-11-20,,COMPLETAR
2012-11-21,,COMPLETAR
2012-11-22,,COMPLETAR
2012-11-23,,COMPLETAR
2012-11-24,,COMPLETAR
2012-11-25,,COMPLETAR
2012-11-26,,COMPLETAR
2012-11-27,,COMPLETAR
2012-11-28,,COMPLETAR
2012-11-29,,COMPLETAR
2012-11-30,,COMPLETAR
2012-12-01,,COMPLETAR
2012-12-02,,COMPLETAR
2012-12-03,,COMPLETAR
2012-12-04,,COMPLETAR
2012-12-05,,COMPLETAR
2012-12-06,,COMPLETAR
2012-12-07,,COMPLETAR
2012-12-08,,COMPLETAR
2012-12-09,,COMPLETAR
2012-12-10,,COMPLETAR
2012-12-11,,COMPLETAR
2012-12-12,,COMPLETAR
2012-12-13,,COMPLETAR
2012-12-14,,COMPLETAR
2012-12-15,,COMPLETAR
2012-12-16,,COMPLETAR
2012-12-17,,COMPLETAR
2012-12-18,,COMPLETAR
2012-12-19,,COMPLETAR
2012-12-20,,COMPLETAR
2012-12-21,,COMPLETAR
2012-12-22,,COMPLETAR
2012-12-23,,COMPLETAR
2012-12-24,,COMPLETAR
2012-12-25,,COMPLETAR
2012-12-26,,COMPLETAR
2012-12-27,,COMPLETAR
2012-12-28,,COMPLETAR
2012-12-29,,COMPLETAR
2012-12-30,,COMPLETAR
2012-12-31,,COMPLETAR
2013-01-01,,COMPLETAR
2013-01-02,,COMPLETAR
2013-01-03,,COMPLETAR
2013-01-04,,COMPLETAR
2013-01-05,,COMPLETAR
2013-01-06,,COMPLETAR
2013-01-07,,COMPLETAR
2013-01-08,,COMPLETAR
2013-01-09,,COMPLETAR
2013-01-10,,COMPLETAR
2013-01-11,,COMPLETAR
2013-01-12,,COMPLETAR
2013-01-13,,COMPLETAR
2013-01-14,,COMPLETAR
2013-01-15,,COMPLETAR
2013-01-16,,COMPLETAR
2013-01-17,,COMPLETAR
2013-01-18,,COMPLETAR
2013-01-19,,COMPLETAR
2013-01-20,,COMPLETAR
2013-01-21,,COMPLETAR
2013-01-22,,COMPLETAR
2013-01-23,,COMPLETAR
2013-01-24,,COMPLETAR
2013-01-25,,COMPLETAR
2013-01-26,,COMPLETAR
2013-01-27,,COMPLETAR
2013-01-28,,COMPLETAR
2013-01-29,,COMPLETAR
2013-01-30,,COMPLETAR
2013-01-31,,COMPLETAR
2013-02-01,,COMPLETAR
2013-02-02,,COMPLETAR
2013-02-03,,COMPLETAR
2013-02-04,,COMPLETAR
2013-02-05,,COMPLETAR
2013-02-06,,COMPLETAR
2013-02-07,,COMPLETAR
2013-02-08,,COMPLETAR
2013-02-09,,COMPLETAR
2013-02-10,,COMPLETAR
2013-02-11,,COMPLETAR
2013-02-12,,COMPLETAR
2013-02-13,,COMPLETAR
2013-02-14,,COMPLETAR
2013-02-15,,COMPLETAR
2013-02-16,,COMPLETAR
2013-02-17,,COMPLETAR
2013-02-18,,COMPLETAR
2013-02-19,,COMPLETAR
2013-02-20,,COMPLETAR
2013-02-21,,COMPLETAR
2013-02-22,,COMPLETAR
2013-02-23,,COMPLETAR
2013-02-24,,COMPLETAR
2013-02-25,,COMPLETAR
2013-02-26,,COMPLETAR
2013-02-27,,COMPLETAR
2013-02-28,,COMPLETAR
2013-03-01,,COMPLETAR
2013-03-02,,COMPLETAR
2013-03-03,,COMPLETAR
2013-03-04,,COMPLETAR
2013-03-05,,COMPLETAR
2013-03-06,,COMPLETAR
2013-03-07,,COMPLETAR
2013-03-08,,COMPLETAR
2013-03-09,,COMPLETAR
2013-03-10,,COMPLETAR
2013-03-11,,COMPLETAR
2013-03-12,,COMPLETAR
2013-03-13,,COMPLETAR
2013-03-14,,COMPLETAR
2013-03-15,,COMPLETAR
2013-03-16,,COMPLETAR
2013-03-17,,COMPLETAR
2013-03-18,,COMPLETAR
2013-03-19,,COMPLETAR
2013-03-20,,COMPLETAR
2013-03-21,,COMPLETAR
2013-03-22,,COMPLETAR
2013-03-23,,COMPLETAR
2013-03-24,,COMPLETAR
2013-03-25,,COMPLETAR
2013-03-26,,COMPLETAR
2013-03-27,,COMPLETAR
2013-03-28,,COMPLETAR
2013-03-29,,COMPLETAR
2013-03-30,,COMPLETAR
2013-03-31,,COMPLETAR
2013-04-01,,COMPLETAR
2013-04-02,,COMPLETAR
2013-04-03,,COMPLETAR
2013-04-04,,COMPLETAR
2013-04-05,,COMPLETAR
2013-04-06,,COMPLETAR
2013-04-07,,COMPLETAR
2013-04-08,,COMPLETAR
2013-04-09,,COMPLETAR
2013-04-10,,COMPLETAR
2013-04-11,,COMPLETAR
2013-04-12,,COMPLETAR
2013-04-13,,COMPLETAR
2013-04-14,,COMPLETAR
2013-04-15,,COMPLETAR
2013-04-16,,COMPLETAR
2013-04-17,,COMPLETAR
2013-04-18,,COMPLETAR
2013-04-19,,COMPLETAR
2013-04-20,,COMPLETAR
2013-04-21,,COMPLETAR
2013-04-22,,COMPLETAR
2013-04-23,,COMPLETAR
2013-04-24,,COMPLETAR
2013-04-25,,COMPLETAR
2013-04-26,,COMPLETAR
2013-04-27,,COMPLETAR
2013-04-28,,COMPLETAR
2013-04-29,,COMPLETAR
2013-04-30,,COMPLETAR
2013-05-01,,COMPLETAR
2013-05-02,,COMPLETAR
2013-05-03,,COMPLETAR
2013-05-04,,COMPLETAR
2013-05-05,,COMPLETAR
2013-05-06,,COMPLETAR
2013-05-07,,COMPLETAR
2013-05-08,,COMPLETAR
2013-05-09,,COMPLETAR
2013-05-10,,COMPLETAR
2013-05-11,,COMPLETAR
2013-05-12,,COMPLETAR
2013-05-13,,COMPLETAR
2013-05-14,,COMPLETAR
2013-05-15,,COMPLETAR
2013-05-16,,COMPLETAR
2013-05-17,,COMPLETAR
2013-05-18,,COMPLETAR
2013-05-19,,COMPLETAR
2013-05-20,,COMPLETAR
2013-05-21,,COMPLETAR
2013-05-22,,COMPLETAR
2013-05-23,,COMPLETAR
2013-05-24,,COMPLETAR
2013-05-25,,COMPLETAR
2013-05-26,,COMPLETAR
2013-05-27,,COMPLETAR
2013-05-28,,COMPLETAR
