fecha,P_mm,Tmed_c,ndvi,Q_mm
2012-01-01,189.5,7.19,0.13,83.67
2012-02-01,234.0,7.55,0.13,92.01
2012-03-01,120.4,9.76,0.12,50.38
2012-04-01,142.85,10.12,0.13,65.73
2012-05-01,53.69,9.64,0.13,24.62
2012-06-01,6.0,12.21,0.11,15.54
2012-07-01,2.6,12.11,0.09,11.09
2012-08-01,2.7,11.26,0.09,8.13
2012-09-01,25.7,10.12,0.09,6.91
2012-10-01,54.2,11.43,0.09,6.46
2012-11-01,167.07,8.04,0.11,48.75
2012-12-01,153.07,9.06,0.13,51.55
2013-01-01,106.8,8.57,0.14,39.95
2013-02-01,176.5,8.4,0.14,79.94
2013-03-01,374.6,9.36,0.15,208.22
2013-04-01,75.2,10.44,0.15,49.43
2013-05-01,26.73,9.75,0.14,28.17
2013-06-01,2.2,12.31,0.13,19.59
2013-07-01,2.93,11.39,0.12,14.1
2013-08-01,14.93,11.05,0.09,10.91
2013-09-01,18.93,9.87,0.1,8.95
2013-10-01,153.0,10.69,0.12,44.71
2013-11-01,130.87,7.94,0.13,49.21
2013-12-01,167.6,8.96,0.14,69.94
2014-01-01,102.28,7.38,0.15,49.52
2014-02-01,123.27,7.86,0.08,63.79
2014-03-01,158.1,8.5,0.15,83.84
2014-04-01,60.85,10.43,0.17,30.56
2014-05-01,47.53,8.75,0.14,25.13
2014-06-01,11.63,11.87,0.14,17.11
2014-07-01,16.4,12.15,0.12,12.89
2014-08-01,7.87,10.64,0.11,9.74
2014-09-01,52.93,9.68,0.09,10.9
2014-10-01,94.93,10.92,0.1,22.31
2014-11-01,132.0,8.12,0.11,44.66
2014-12-01,206.33,9.14,0.13,82.88
2015-01-01,245.27,7.45,0.13,127.47
2015-02-01,72.8,7.91,0.14,46.53
2015-03-01,234.5,8.38,0.18,138.35
2015-04-01,98.0,9.7,0.15,63.02
2015-05-01,141.2,8.73,0.14,90.21
2015-06-01,16.1,11.37,0.13,27.0
2015-07-01,3.4,11.63,0.12,18.99
2015-08-01,25.6,11.17,0.11,15.13
2015-09-01,37.0,10.57,0.11,13.06
2015-10-01,103.6,11.86,0.1,29.25
2015-11-01,172.2,8.76,0.1,69.99
2015-12-01,106.8,9.77,0.13,43.73
2016-01-01,114.0,8.8,0.14,51.96
2016-02-01,206.4,8.44,0.14,109.53
2016-03-01,143.3,9.88,0.18,79.43
2016-04-01,104.4,10.87,0.15,57.68
2016-05-01,19.4,9.6,0.14,24.16
2016-06-01,9.1,11.25,0.12,17.87
2016-07-01,1.4,11.47,0.11,12.8
2016-08-01,6.5,11.27,0.1,9.51
2016-09-01,30.81,9.73,0.1,8.32
2016-10-01,104.31,10.66,0.11,24.91
